timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.40100000031628724E-6
calc_moments,2,240,1,0.16397890000000359E-1
calcaux,3,339,1,0.40482497000000173E-1
h_from_f_ff2_gpu,4,170,3,0.81444200000024836E-3
compadi,5,733,3,0.59139700000043760E-3
add_nl,6,527,2,0.20039069999997494E-2
addadi,7,884,3,0.13196203000000128E-1
hypz_cmp,8,688,2,0.15558000000304162E-4
pf_dfb,9,403,2,0.73640000000096961E-5
CalFRhs0,10,581,1,0.29140036000000258E-1
compadi,11,456,1,0.37520129999997209E-2
calc_moments,12,339,1,0.61513450000001413E-2
ccdens,14,969,2,0.89830499999976610E-3
dzv_ak,15,527,2,0.34631800000006763E-3
pf_dgdxy,16,834,3,0.17789999999795469E-4
eRK_stage_2,20,762,3,0.18365138000000059E-1
sum_vwsp,24,188,1000,12.980224687999845
sum_vwsp,28,63,1,0.36365180000004216E-2
prdi_g,29,849,3,0.24000000031776381E-6
pf_dgdxy,30,862,1000,0.74034160000673310E-2
add_dchidxy,31,743,1000,0.27435822000839494E-1
addadi,32,1023,1000,21.052907321000315
pf_dfb,33,294,9998,0.34108597000862773E-1
ex_gen_real,34,195,1,0.34177000000301661E-4
fdi_fld,35,751,2,0.20900000130552598E-6
ccdens,40,924,2,0.18178790000007439E-2
exv6d,41,45,3,0.88555154999999441E-1
compute_barchi_gpu,42,275,1,0.99769999999388403E-5
gsub,44,1007,1,363.65940512800000
calc_ff1_gpu,45,170,3,0.96911297000000118E-1
compadi,46,968,2,0.38913699999998386E-3
calcaux,47,465,2,0.61676920000000024E-2
dApardt,48,462,9998,0.50687600081733564E-3
pf_dfb,49,953,3,0.10536000000005430E-4
pf_dfb,53,597,9998,0.33890247003514062E-1
sum_sp,54,210,28672,0.11303279000030919E-1
pf_dfb,55,237,3,0.10651000000194699E-4
pf_dfb,57,717,2,0.66429999998618428E-5
dgdxy,59,751,2,0.94221999999533068E-4
ccdens,63,3,1,0.68313129999997280E-2
fdi_g,64,756,2,0.27399999957822274E-6
pfld,65,10,1,0.38911999999946545E-4
hypz_cmp,66,10,1,0.14528999999985359E-4
pf_dfb,67,929,3,0.10455999999603449E-4
Prefetch_mome_field,68,3,1,0.50869999999036963E-5
prep_nl,69,834,6,0.51199999973050581E-6
pfld,70,751,2,0.76823000000558750E-4
addadi,73,286,3,0.56897799999999776E-3
pf_dfb,74,229,2,0.73210000008927523E-5
ccdens,75,418,1,0.58919585999999580E-1
prdi_fld,76,850,3,0.32900000013214026E-6
fdi_fld,77,462,9998,0.10881130003816963E-2
f_and_fields_to_GPU,78,881,9998,0.57085451000147280E-1
FldSlv,79,418,1,0.39790950000000436E-2
x_pfkp,80,20,3,0.55400000000815908E-5
dzv_ak,83,638,9998,1.7346482549996294
add_dchidxy,84,247,3,0.51234999999927311E-4
Prefetch_mome_field,85,170,3,0.16066999999786447E-4
pr_hf,86,638,9998,0.23189549973094969E-2
Prefetch_mome_field,87,503,9998,0.47238790998518354E-1
prdi_fld,88,527,2,0.23199999965584084E-6
compute_barchi_gpu,89,697,2,0.14107999999346532E-4
exz3d,90,817,8,0.27391519999993008E-2
add_dchidxy,91,602,3,0.51102000000469161E-4
x_pfkp,92,680,3,0.51939999998751318E-5
add_dchidxy,93,409,3,0.22213999999998180E-2
pf_dfb,94,1004,2,0.66040000001876820E-5
pr_hf,95,756,2,0.60699999959723527E-6
dgdxy,100,862,1000,2.0814696850004628
pf_dfb,101,469,9998,0.35582130000062939E-1
h_from_f_ff2_gpu,102,418,1,0.26569000000087328E-4
calcaux,103,226,9998,22.232424806998210
fdi_fld,104,938,9998,0.10990540002797644E-2
pf_chib,105,857,2,0.42979999994585683E-5
pfld,106,849,3,0.11450800000023520E-3
calc_ff1_gpu,107,103,9998,13.397313352001479
x_pfgnew,108,881,9998,0.42842519999444661E-1
f_and_fields_to_GPU,109,547,2,0.11348999999327702E-4
pf_dfb,110,549,3,0.98949999998154681E-5
pf_dfb,111,163,9998,0.33930525002253020E-1
sum_cmplx_vw,112,581,8,0.34541595999999952E-1
pf_dfb,113,949,2,0.83240000003925729E-5
g_to_GPU,114,465,2,0.72199999996414022E-5
h_to_GPU,115,399,3,0.11091999999823798E-4
sum_vwsp,116,468,9998,4.1585065379992212
prdi_g,117,862,1000,0.22645000099341672E-3
Prefetch_mome_field,119,661,9998,0.46320699999156112E-1
calcmom1_gpu,120,505,9998,1.1528585820011603
fdi_fld,121,269,9998,0.11532720013365250E-2
pf_dgdxy,122,527,2,0.11870000000691050E-4
FldSlv,124,47,2,0.48465400000097247E-3
en_block,125,475,1000,78.679062899998826
fdi_fld,126,834,3,0.43799999982496729E-6
pf_chib,127,609,1,0.96169999999062838E-5
add_dchidxy,128,236,9998,0.16803527899888859
pr_g,129,638,9998,0.58917299796057421E-3
add_nl,130,688,2,0.20018999999988907E-2
pr_g,131,269,9998,0.72159699952045742E-3
calc_ff1_gpu,132,3,1,0.30509873999999826E-1
prdi_g,133,850,3,0.23700000006954269E-6
add_dchidxy,135,789,9998,0.16714657999972360
rkupd,136,307,3,0.16396399999996092E-3
pf_nl,137,706,9998,0.38849600001205964E-1
hypz_cmp,138,938,9998,0.65807103001256806E-1
calcmom1_gpu,144,349,3,0.19168399999935914E-3
prep_nl,145,527,4,0.37199999969317332E-6
sum_vwsp,146,228,9998,4.1444237049982808
FldSlv,147,503,9998,1.5985023129991633
dApardt,148,751,2,0.86000000898422968E-7
pf_dgdxy,149,269,9998,0.59298293999676233E-1
pr_hf,152,462,9998,0.22382840028010165E-2
pr_fld,154,638,9998,0.17901699999898213E-2
prep_nl,155,10,2,0.25099999989564026E-6
prdi_fld,157,938,9998,0.11725459998963572E-2
pf_dfb,161,149,9998,0.36528132999573693E-1
h_to_GPU,163,881,9998,0.35825806000347349E-1
exv6d,164,342,9998,11.049537893996732
calcnl,165,130,2,0.32689299999955068E-3
add_dchidxy_wo_curv,166,125,1000,0.87488280001295493E-2
fdi_fld,167,862,1000,0.17712899960553585E-3
Prefetch_mome_field,168,890,1000,0.46398660000006586E-2
g_to_GPU,169,261,9998,0.36753219999508424E-1
calcaux,170,399,3,0.13100247099999995
exz3d,171,3,1,0.19941099999964962E-3
pf_dfb,172,605,3,0.11057999999675161E-4
pf_nl,173,421,3,0.11452999999495006E-4
addadi,176,747,1000,0.12865456099980932
ex_gen_real,177,210,1282,0.19569690000142970E-2
eRK_standard,178,219,9998,150.75028536699961
FldSlv,179,661,9998,1.5518583299998445
