timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.42400000044295894E-6
calc_moments,2,240,1,0.16517226000000385E-1
calcaux,3,339,1,0.27317974000000245E-1
h_from_f_ff2_gpu,4,170,3,0.83081600000056710E-3
compadi,5,733,3,0.69476899999987296E-3
add_nl,6,527,2,0.20064130000001512E-2
addadi,7,884,3,0.13944042999999517E-1
hypz_cmp,8,688,2,0.15743000001400276E-4
pf_dfb,9,403,2,0.71660000005024926E-5
CalFRhs0,10,581,1,0.29551560999999893E-1
compadi,11,456,1,0.47877700000009682E-3
calc_moments,12,339,1,0.64017129999998090E-2
ccdens,14,969,2,0.16685440000001606E-2
dzv_ak,15,527,2,0.35446600000010875E-3
pf_dgdxy,16,834,3,0.17458000000303286E-4
eRK_stage_2,20,762,3,0.16224041000000078E-1
sum_vwsp,24,188,1000,0.47459467099997354
sum_vwsp,28,63,1,0.77584000000019415E-3
prdi_g,29,849,3,0.24300000012189571E-6
pf_dgdxy,30,862,1000,0.68621370004260385E-2
add_dchidxy,31,743,1000,0.24136125999405067E-1
addadi,32,1023,1000,0.15792157000049922
pf_dfb,33,294,9998,0.33607795000738960E-1
ex_gen_real,34,195,1,0.55599999999600414E-5
fdi_fld,35,751,2,0.22200000060479397E-6
ccdens,40,924,2,0.27745240000003335E-2
exv6d,41,45,3,0.55629939999999323E-1
compute_barchi_gpu,42,275,1,0.92170000001168262E-5
gsub,44,1007,1,360.54257302299999
calc_ff1_gpu,45,170,3,0.61829529999999799E-1
compadi,46,968,2,0.37163600000056363E-3
calcaux,47,465,2,0.46950600000004172E-2
dApardt,48,462,9998,0.55119699764993868E-3
pf_dfb,49,953,3,0.10118000000058913E-4
pf_dfb,53,597,9998,0.33541729999202019E-1
sum_sp,54,210,28672,0.11688400000047228E-1
pf_dfb,55,237,3,0.10223999999503519E-4
pf_dfb,57,717,2,0.65279999992284843E-5
dgdxy,59,751,2,0.94536999999839111E-4
ccdens,63,3,1,0.38957539999997515E-2
fdi_g,64,756,2,0.28399999951744803E-6
pfld,65,10,1,0.39059000000118971E-4
hypz_cmp,66,10,1,0.12004000000231940E-4
pf_dfb,67,929,3,0.11005000000174903E-4
Prefetch_mome_field,68,3,1,0.48810000001786591E-5
prep_nl,69,834,6,0.57000000008855523E-6
pfld,70,751,2,0.76924000000033743E-4
addadi,73,286,3,0.57606299999957145E-3
pf_dfb,74,229,2,0.72910000001868980E-5
ccdens,75,418,1,0.13350809999996827E-2
prdi_fld,76,850,3,0.36799999980630105E-6
fdi_fld,77,462,9998,0.11081750012751357E-2
f_and_fields_to_GPU,78,881,9998,0.56715815999451635E-1
FldSlv,79,418,1,0.80432400000018944E-3
x_pfkp,80,20,3,0.56290000003400564E-5
dzv_ak,83,638,9998,1.7359571030003318
add_dchidxy,84,247,3,0.51566000000224932E-4
Prefetch_mome_field,85,170,3,0.15333999999977976E-4
pr_hf,86,638,9998,0.24789889997416381E-2
Prefetch_mome_field,87,503,9998,0.46084746000636834E-1
prdi_fld,88,527,2,0.23699999918136427E-6
compute_barchi_gpu,89,697,2,0.14166000000592760E-4
exz3d,90,817,8,0.25964640000002426E-2
add_dchidxy,91,602,3,0.50942000000553378E-4
x_pfkp,92,680,3,0.56909999992527105E-5
add_dchidxy,93,409,3,0.22021130000000610E-2
pf_dfb,94,1004,2,0.65529999995206367E-5
pr_hf,95,756,2,0.73500000041804014E-6
dgdxy,100,862,1000,2.0535313899999448
pf_dfb,101,469,9998,0.35032738997190727E-1
h_from_f_ff2_gpu,102,418,1,0.32949000000392914E-4
calcaux,103,226,9998,19.858093332000145
fdi_fld,104,938,9998,0.11346000013761071E-2
pf_chib,105,857,2,0.42859999993538622E-5
pfld,106,849,3,0.11429100000004411E-3
calc_ff1_gpu,107,103,9998,7.0400554819996461
x_pfgnew,108,881,9998,0.41415962001464912E-1
f_and_fields_to_GPU,109,547,2,0.11258999999874675E-4
pf_dfb,110,549,3,0.10143999999545628E-4
pf_dfb,111,163,9998,0.33564578999824235E-1
sum_cmplx_vw,112,581,8,0.32612917999999880E-1
pf_dfb,113,949,2,0.83619999999839933E-5
g_to_GPU,114,465,2,0.70019999993675697E-5
h_to_GPU,115,399,3,0.10589999999588429E-4
sum_vwsp,116,468,9998,8.1222863710012341
prdi_g,117,862,1000,0.10908500018924627E-3
Prefetch_mome_field,119,661,9998,0.45869289000039615E-1
calcmom1_gpu,120,505,9998,1.1147152089992387
fdi_fld,121,269,9998,0.11794410030958602E-2
pf_dgdxy,122,527,2,0.11970000000083303E-4
FldSlv,124,47,2,0.49389399999988370E-3
en_block,125,475,1000,77.015713957999509
fdi_fld,126,834,3,0.35199999981472274E-6
pf_chib,127,609,1,0.86669999999067215E-5
add_dchidxy,128,236,9998,0.16951668400164621
pr_g,129,638,9998,0.66545300083387104E-3
add_nl,130,688,2,0.20157110000003087E-2
pr_g,131,269,9998,0.62616200091625274E-3
calc_ff1_gpu,132,3,1,0.22220397999999975E-1
prdi_g,133,850,3,0.23700000006954269E-6
add_dchidxy,135,789,9998,0.16777976499704739
rkupd,136,307,3,0.16638200000018699E-3
pf_nl,137,706,9998,0.38435837998481048E-1
hypz_cmp,138,938,9998,0.64680261003073447E-1
calcmom1_gpu,144,349,3,0.19540399999984359E-3
prep_nl,145,527,4,0.40099999942810882E-6
sum_vwsp,146,228,9998,8.0810847250003768
FldSlv,147,503,9998,1.7390176240018658
dApardt,148,751,2,0.95999999949469839E-7
pf_dgdxy,149,269,9998,0.57899896996255862E-1
pr_hf,152,462,9998,0.24091460019279864E-2
pr_fld,154,638,9998,0.20078019969149707E-2
prep_nl,155,10,2,0.25999999975212518E-6
prdi_fld,157,938,9998,0.13330950039858180E-2
pf_dfb,161,149,9998,0.35440777001134016E-1
h_to_GPU,163,881,9998,0.35549211000571290E-1
exv6d,164,342,9998,4.6635627469998306
calcnl,165,130,2,0.32508299999989276E-3
add_dchidxy_wo_curv,166,125,1000,0.80051850003108882E-2
fdi_fld,167,862,1000,0.22657700044881324E-3
Prefetch_mome_field,168,890,1000,0.45721449998561425E-2
g_to_GPU,169,261,9998,0.36205845002522885E-1
calcaux,170,399,3,0.97288867999999695E-1
exz3d,171,3,1,0.18269700000006495E-3
pf_dfb,172,605,3,0.11418000000151807E-4
pf_nl,173,421,3,0.11830999999684622E-4
addadi,176,747,1000,0.13848845999981663
ex_gen_real,177,210,1282,0.30782930000010644E-2
eRK_standard,178,219,9998,141.36440160200010
FldSlv,179,661,9998,1.6338496610014506
pf_dgdxy,182,938,9998,0.57135763998713784E-1
prep_nl,183,849,6,0.58000000002778052E-6
compadi,184,911,3,0.48447399999984597E-3
add_dchidxy,185,724,2,0.34240999998935706E-4
pf_dfb,186,585,3,0.11329000000337430E-4
ccdens,188,554,1000,1.2068806669995551
exz_f_gpu,189,107,9998,2.3025260060012513
pf_dfb,190,909,2,0.69919999994283444E-5
calcmom1_gpu,191,40,2,0.71316000000543056E-4
rkupd,193,482,9998,0.54487332700256808
exz3d,194,503,9998,1.4240792100015653
initialization,195,44,1,1.4155360690000007
h_to_GPU,196,680,3,0.11775000000824321E-4
add_nl,197,850,3,0.30008230000002634E-2
dgdxy,198,850,3,0.14167199999937097E-3
addadi,199,816,2,0.33799100000031501E-3
h_to_GPU,200,547,2,0.69439999998976987E-5
h_from_f_ff2_gpu,202,554,1000,0.28583532999428840E-1
prdi_fld,206,269,9998,0.13795820000339631E-2
addadi,207,1024,9998,1.4172131240012504
pfld,208,834,3,0.11520800000042186E-3
pf_chib,209,268,9998,0.21467060999605714E-1
initrhs,210,821,1,0.57784525699999989
exz_f_gpu,213,956,9998,2.3136017819988099
dzv_ak,214,756,2,0.23499789999998910E-2
exz3d,215,630,9998,1.4841668559996046
dApardt,216,834,3,0.16900000021635719E-6
x_pfgnew,217,547,2,0.73459999994085479E-5
exz_f_gpu,218,273,9998,2.3342950000025668
t_loop,219,855,1,355.72453636199998
add_dchidxy,220,249,3,0.53917000000236470E-4
hypz_cmp,221,751,2,0.12986999998965132E-4
pfld,222,756,2,0.77398000000172829E-4
prdi_g,223,834,3,0.25199999953429142E-6
pf_dfb,224,319,3,0.10254999999848025E-4
pf_dfb,225,277,3,0.10088000000241237E-4
eRK_stage_3,226,178,9998,34.543884841997659
ccdens,228,661,9998,8.7052272690013304
f_and_fields_to_GPU,229,801,2,0.11157999999511503E-4
pf_dfb,231,108,9998,0.38799255002830435E-1
compadi,235,723,2,0.29560100000036726E-3
dfielddxy,236,638,9998,0.55524443300253346
pf_dgdxy,237,850,3,0.17138000000027631E-4
calcaux,238,838,2,0.81203599999994935E-2
d_nrg,240,339,1,0.72658305000000034E-1
pfld,244,862,1000,0.39173218000397192E-1
pf_dfb,245,790,2,0.66600000003802506E-5
calc_ff1_gpu,246,554,1000,4.2448924409999211
dfielddxy,247,849,3,0.16890000000024941E-3
pf_dfb,248,507,9998,0.34938589999574887E-1
dfielddxy,249,834,3,0.17080199999996992E-3
prdi_fld,251,462,9998,0.12898360011730503E-2
pf_nl,252,165,2,0.78249999999613351E-5
addadi,254,179,9998,1.3985108769998815
pr_hf,255,527,2,0.47400000013908539E-6
prdi_fld,256,751,2,0.26399999963899745E-6
h_from_f_ff2_gpu,257,802,3,0.63582000000117489E-4
exz_f_gpu,258,441,3,0.69787999999926242E-3
calcnl,259,971,9998,1.5848021509984784
eRK_stage_1,261,178,9998,40.127827462000738
f_and_fields_to_GPU,263,482,9998,0.56476185998986850E-1
prdi_g,264,462,9998,0.81584799988565493E-3
x_pfkp,265,307,3,0.52510000005945301E-5
calcmom1_gpu,266,959,3,0.78831089999997772E-2
add_nl,268,462,9998,10.037688988002142
CalFRhs0,269,261,9998,19.619007734997563
exz_f_gpu,270,132,1,0.38967610000000263E-2
x_pfgold,271,307,3,0.11684000000844463E-4
fdi_g,272,849,3,0.40600000028589989E-6
calc_ff1_gpu,273,630,9998,7.0836140620008310
dfielddxy,275,10,1,0.20925490000003322E-2
sum_vwsp,276,863,2,0.24955219999993616E-2
x_pfgold,277,20,3,0.10762999999691658E-4
calc_ff1_gpu,278,471,3,0.27042939999994964E-2
fdi_fld,279,463,3,0.53600000038400708E-6
exz3d,280,661,9998,1.3538648549997419
pr_hf,281,10,1,0.40900000009003179E-6
Prefetch_mome_field,283,471,3,0.14183000000222989E-4
pf_dfb,284,991,9998,0.40144900997644228E-1
calcnl,285,609,1,0.21474399999998894E-3
FldSlv,286,802,3,0.72416300000011091E-3
hypz_cmp,287,463,3,0.93710999999885303E-4
pf_dgdxy,291,463,3,0.19467999999633889E-4
exz3d,292,103,9998,1.3631186699985687
compadi,293,763,9998,1.3260593320008072
g_to_GPU,294,881,9998,0.35855063000657772E-1
h_from_f_ff2_gpu,295,238,2,0.49110999999157912E-4
prdi_g,296,463,3,0.34900000001059084E-6
hypz_cmp,297,834,3,0.21908999999542544E-4
exz_f_gpu,298,278,3,0.13300009999999141E-2
fdi_fld,301,756,2,0.28599999968292877E-6
dApardt,303,269,9998,0.67038400121166575E-3
pf_nl,304,618,9998,0.38830311999637601E-1
prep_nl,305,269,19996,0.19894249996310620E-2
pf_nl,306,285,1,0.46380000000567634E-5
eRK_stage_4,307,762,3,0.10606089000000374E-1
compadi,312,32,1000,0.13449154800002994
prdi_fld,318,10,1,0.25399999969977216E-6
g_to_GPU,319,680,3,0.10930000000186624E-4
fdi_g,323,638,9998,0.11864369995508994E-2
