timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.43299999852308702E-6
calc_moments,2,240,1,0.16483968000000182E-1
calcaux,3,339,1,0.39777484999999668E-1
h_from_f_ff2_gpu,4,170,3,0.66451999999994626E-3
compadi,5,733,3,0.69033500000026393E-3
add_nl,6,527,2,0.20090689999996414E-2
addadi,7,884,3,0.12187755999999883E-1
hypz_cmp,8,688,2,0.15902999999539702E-4
pf_dfb,9,403,2,0.77060000007733720E-5
CalFRhs0,10,581,1,0.29196750000000105E-1
compadi,11,456,1,0.14818010000001713E-2
calc_moments,12,339,1,0.61439969999996791E-2
ccdens,14,969,2,0.91842199999980778E-3
dzv_ak,15,527,2,0.34714799999857604E-3
pf_dgdxy,16,834,3,0.17624999999910074E-4
eRK_stage_2,20,762,3,0.22824795000000009E-1
sum_vwsp,24,188,1000,17.604003614000462
sum_vwsp,28,63,1,0.24921479999999718E-2
prdi_g,29,849,3,0.26099999983486555E-6
pf_dgdxy,30,862,1000,0.70851460004091038E-2
add_dchidxy,31,743,1000,0.25514014999769685E-1
addadi,32,1023,1000,28.528641753999828
pf_dfb,33,294,9998,0.33890987000808614E-1
ex_gen_real,34,195,1,0.57690000003773889E-5
fdi_fld,35,751,2,0.20799999944642877E-6
ccdens,40,924,2,0.22700290000008394E-2
exv6d,41,45,3,0.76994993000000900E-1
compute_barchi_gpu,42,275,1,0.81770000002201471E-5
gsub,44,1007,1,437.54658053100002
calc_ff1_gpu,45,170,3,0.83283775000000393E-1
compadi,46,968,2,0.39686599999999572E-3
calcaux,47,465,2,0.87477259999992896E-2
dApardt,48,462,9998,0.54706599825937730E-3
pf_dfb,49,953,3,0.10542000000057783E-4
pf_dfb,53,597,9998,0.33858170996301951E-1
sum_sp,54,210,28672,0.11033677000011455E-1
pf_dfb,55,237,3,0.10639000000089993E-4
pf_dfb,57,717,2,0.66580000002147699E-5
dgdxy,59,751,2,0.96633000000068137E-4
ccdens,63,3,1,0.57125799999999671E-2
fdi_g,64,756,2,0.30000000084129397E-6
pfld,65,10,1,0.38849000000062972E-4
hypz_cmp,66,10,1,0.12769000000023567E-4
pf_dfb,67,929,3,0.10368999999954553E-4
Prefetch_mome_field,68,3,1,0.49730000002412567E-5
prep_nl,69,834,6,0.62599999983703469E-6
pfld,70,751,2,0.76274000000431386E-4
addadi,73,286,3,0.59077600000057018E-3
pf_dfb,74,229,2,0.74420000002461961E-5
ccdens,75,418,1,0.13405021900000014
prdi_fld,76,850,3,0.30300000020133666E-6
fdi_fld,77,462,9998,0.10615739988697470E-2
f_and_fields_to_GPU,78,881,9998,0.57027057001312720E-1
FldSlv,79,418,1,0.17170659999998783E-2
x_pfkp,80,20,3,0.54060000000966113E-5
dzv_ak,83,638,9998,1.7369954709995525
add_dchidxy,84,247,3,0.51816999999676483E-4
Prefetch_mome_field,85,170,3,0.14532999999872231E-4
pr_hf,86,638,9998,0.22761069991235061E-2
Prefetch_mome_field,87,503,9998,0.46470453000104328E-1
prdi_fld,88,527,2,0.24800000009150835E-6
compute_barchi_gpu,89,697,2,0.14027000000638168E-4
exz3d,90,817,8,0.46873609999997790E-2
add_dchidxy,91,602,3,0.51369000000356380E-4
x_pfkp,92,680,3,0.52550000000373132E-5
add_dchidxy,93,409,3,0.22405069999997806E-2
pf_dfb,94,1004,2,0.66480000002755446E-5
pr_hf,95,756,2,0.82499999987106776E-6
dgdxy,100,862,1000,2.0860797480000626
pf_dfb,101,469,9998,0.35739672000360656E-1
h_from_f_ff2_gpu,102,418,1,0.29696999999995199E-4
calcaux,103,226,9998,36.794652603000628
fdi_fld,104,938,9998,0.10927179988096114E-2
pf_chib,105,857,2,0.41230000000780365E-5
pfld,106,849,3,0.11437399999936204E-3
calc_ff1_gpu,107,103,9998,27.574893902997061
x_pfgnew,108,881,9998,0.43815356001048578E-1
f_and_fields_to_GPU,109,547,2,0.11212999999621331E-4
pf_dfb,110,549,3,0.97480000000871314E-5
pf_dfb,111,163,9998,0.33680690998449059E-1
sum_cmplx_vw,112,581,8,0.33720901000001025E-1
pf_dfb,113,949,2,0.84889999998338794E-5
g_to_GPU,114,465,2,0.72810000002476727E-5
h_to_GPU,115,399,3,0.10955000000478776E-4
sum_vwsp,116,468,9998,4.9786025340022224
prdi_g,117,862,1000,0.14144699963836160E-3
Prefetch_mome_field,119,661,9998,0.46026673999351786E-1
calcmom1_gpu,120,505,9998,1.1205227859971592
fdi_fld,121,269,9998,0.11405549990612940E-2
pf_dgdxy,122,527,2,0.11758000000305913E-4
FldSlv,124,47,2,0.49805699999971864E-3
en_block,125,475,1000,79.235756795000015
fdi_fld,126,834,3,0.31499999986195348E-6
pf_chib,127,609,1,0.80049999997555688E-5
add_dchidxy,128,236,9998,0.17125353300192003
pr_g,129,638,9998,0.63871499947154575E-3
add_nl,130,688,2,0.20066529999995808E-2
pr_g,131,269,9998,0.73269999972414013E-3
calc_ff1_gpu,132,3,1,0.30546978000000280E-1
prdi_g,133,850,3,0.26099999983486555E-6
add_dchidxy,135,789,9998,0.16915890400073330
rkupd,136,307,3,0.16462999999999894E-3
pf_nl,137,706,9998,0.39458981999159981E-1
hypz_cmp,138,938,9998,0.66726459000177485E-1
calcmom1_gpu,144,349,3,0.19766399999943118E-3
prep_nl,145,527,4,0.39199999957162390E-6
sum_vwsp,146,228,9998,4.4781354359974941
FldSlv,147,503,9998,1.9754564879988079
dApardt,148,751,2,0.87000000092984919E-7
pf_dgdxy,149,269,9998,0.58946824002632958E-1
pr_hf,152,462,9998,0.21696969994433601E-2
pr_fld,154,638,9998,0.20774170029946859E-2
prep_nl,155,10,2,0.25199999997838063E-6
prdi_fld,157,938,9998,0.12064250007828292E-2
pf_dfb,161,149,9998,0.35505851000253053E-1
h_to_GPU,163,881,9998,0.35666505000138571E-1
exv6d,164,342,9998,24.920415263999811
calcnl,165,130,2,0.33176800000056517E-3
