timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.43100000013396311E-6
calc_moments,2,240,1,0.15868859999999874E-1
calcaux,3,339,1,0.32432099000000214E-1
h_from_f_ff2_gpu,4,170,3,0.82496299999990086E-3
compadi,5,733,3,0.71006599999989817E-3
add_nl,6,527,2,0.20000380000002593E-2
addadi,7,884,3,0.12234449000000591E-1
hypz_cmp,8,688,2,0.15558000000304162E-4
pf_dfb,9,403,2,0.72380000002425504E-5
CalFRhs0,10,581,1,0.29340477999999948E-1
compadi,11,456,1,0.15328960000000613E-2
calc_moments,12,339,1,0.61554359999997921E-2
ccdens,14,969,2,0.35053449999997710E-2
dzv_ak,15,527,2,0.35311999999976251E-3
pf_dgdxy,16,834,3,0.18426000000459908E-4
eRK_stage_2,20,762,3,0.18954129000000375E-1
sum_vwsp,24,188,1000,17.588178573999659
sum_vwsp,28,63,1,0.23230919999996935E-2
prdi_g,29,849,3,0.23700000006954269E-6
pf_dgdxy,30,862,1000,0.72042749996583666E-2
add_dchidxy,31,743,1000,0.25273600000051744E-1
addadi,32,1023,1000,28.536094583000274
pf_dfb,33,294,9998,0.34023860000170103E-1
ex_gen_real,34,195,1,0.30992000000118480E-4
fdi_fld,35,751,2,0.19599999934172274E-6
ccdens,40,924,2,0.47567490000011148E-2
exv6d,41,45,3,0.39357283999999826E-1
compute_barchi_gpu,42,275,1,0.96200000001545050E-5
gsub,44,1007,1,437.54659758599996
calc_ff1_gpu,45,170,3,0.45596281999999988E-1
compadi,46,968,2,0.38737999999938211E-3
calcaux,47,465,2,0.63616630000007390E-2
dApardt,48,462,9998,0.49593299794725709E-3
pf_dfb,49,953,3,0.10236999999246876E-4
pf_dfb,53,597,9998,0.33972037001349875E-1
sum_sp,54,210,28672,0.11142343999955617E-1
pf_dfb,55,237,3,0.10382999999336562E-4
pf_dfb,57,717,2,0.66169999994869499E-5
dgdxy,59,751,2,0.96044000000183871E-4
ccdens,63,3,1,0.54323720000000186E-2
fdi_g,64,756,2,0.34599999931828052E-6
pfld,65,10,1,0.38700999999807806E-4
hypz_cmp,66,10,1,0.12958999999757026E-4
pf_dfb,67,929,3,0.10281999999861569E-4
Prefetch_mome_field,68,3,1,0.50249999996587746E-5
prep_nl,69,834,6,0.55600000070654687E-6
pfld,70,751,2,0.76168999999737252E-4
addadi,73,286,3,0.58076000000006900E-3
pf_dfb,74,229,2,0.74450000004944172E-5
ccdens,75,418,1,0.13377863799999989
