timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.39200000134798074E-6
calc_moments,2,240,1,0.16495415000000069E-1
calcaux,3,339,1,0.64904993999999938E-1
h_from_f_ff2_gpu,4,170,3,0.83851400000023446E-3
compadi,5,733,3,0.69456199999962109E-3
add_nl,6,527,2,0.20248190000007327E-2
addadi,7,884,3,0.13207735999999581E-1
hypz_cmp,8,688,2,0.15553999999973200E-4
pf_dfb,9,403,2,0.73890000003018486E-5
CalFRhs0,10,581,1,0.29493714000000004E-1
compadi,11,456,1,0.23044399999996301E-2
calc_moments,12,339,1,0.60673250000000678E-2
ccdens,14,969,2,0.94238299999993558E-3
dzv_ak,15,527,2,0.34541199999971184E-3
pf_dgdxy,16,834,3,0.18207999999297897E-4
eRK_stage_2,20,762,3,0.19054902000000151E-1
sum_vwsp,24,188,1000,15.398567833999696
sum_vwsp,28,63,1,0.35040710000000530E-2
prdi_g,29,849,3,0.24300000012189571E-6
pf_dgdxy,30,862,1000,0.72882970000742731E-2
add_dchidxy,31,743,1000,0.27572471999608439E-1
addadi,32,1023,1000,26.459502194999679
pf_dfb,33,294,9998,0.34230909000572574E-1
ex_gen_real,34,195,1,0.60990000001481803E-5
fdi_fld,35,751,2,0.19699999942446311E-6
ccdens,40,924,2,0.19088950000005767E-2
exv6d,41,45,3,0.63116354999999569E-1
compute_barchi_gpu,42,275,1,0.96540000003031423E-5
gsub,44,1007,1,388.68258179599997
calc_ff1_gpu,45,170,3,0.69371892000000823E-1
compadi,46,968,2,0.59722999999944903E-3
calcaux,47,465,2,0.67039039999992056E-2
dApardt,48,462,9998,0.44637800130065131E-3
pf_dfb,49,953,3,0.10249000000239761E-4
pf_dfb,53,597,9998,0.33988267999981225E-1
sum_sp,54,210,28672,0.11318575999979430E-1
pf_dfb,55,237,3,0.10443000000304181E-4
pf_dfb,57,717,2,0.66269999994261752E-5
dgdxy,59,751,2,0.96290000000109899E-4
ccdens,63,3,1,0.66506729999997738E-2
fdi_g,64,756,2,0.30499999947863898E-6
pfld,65,10,1,0.39018999999917980E-4
hypz_cmp,66,10,1,0.14848000000178274E-4
pf_dfb,67,929,3,0.10576000000206420E-4
Prefetch_mome_field,68,3,1,0.51600000001705837E-5
prep_nl,69,834,6,0.53900000018813898E-6
pfld,70,751,2,0.76249000000139233E-4
addadi,73,286,3,0.11344539999997849E-2
pf_dfb,74,229,2,0.73559999993477732E-5
ccdens,75,418,1,0.20680984400000035
prdi_fld,76,850,3,0.35600000014568423E-6
fdi_fld,77,462,9998,0.10200449986932369E-2
f_and_fields_to_GPU,78,881,9998,0.57357791999387508E-1
FldSlv,79,418,1,0.25131310000006124E-2
x_pfkp,80,20,3,0.56210000001222227E-5
dzv_ak,83,638,9998,1.7321402000003552
add_dchidxy,84,247,3,0.51749999999461949E-4
Prefetch_mome_field,85,170,3,0.14962999999923454E-4
pr_hf,86,638,9998,0.23414759991986500E-2
Prefetch_mome_field,87,503,9998,0.46074262001199351E-1
prdi_fld,88,527,2,0.24500000073146566E-6
compute_barchi_gpu,89,697,2,0.14941999999962263E-4
exz3d,90,817,8,0.30661220000003375E-2
add_dchidxy,91,602,3,0.50728000000166418E-4
x_pfkp,92,680,3,0.53160000006435837E-5
add_dchidxy,93,409,3,0.22940529999995185E-2
pf_dfb,94,1004,2,0.70670000003048017E-5
pr_hf,95,756,2,0.78199999986594548E-6
dgdxy,100,862,1000,2.0692878479992851
pf_dfb,101,469,9998,0.35737479999504274E-1
h_from_f_ff2_gpu,102,418,1,0.33583999999642344E-4
calcaux,103,226,9998,25.933075092998653
fdi_fld,104,938,9998,0.97948899858213423E-3
pf_chib,105,857,2,0.44130000000919267E-5
pfld,106,849,3,0.11553299999977895E-3
calc_ff1_gpu,107,103,9998,16.427516931000408
x_pfgnew,108,881,9998,0.43606606000506254E-1
f_and_fields_to_GPU,109,547,2,0.11768999999439700E-4
pf_dfb,110,549,3,0.99760000003001892E-5
pf_dfb,111,163,9998,0.34225737999681982E-1
sum_cmplx_vw,112,581,8,0.26243200000000577E-1
pf_dfb,113,949,2,0.79829999997116374E-5
g_to_GPU,114,465,2,0.71639999994488335E-5
h_to_GPU,115,399,3,0.11021999999805132E-4
sum_vwsp,116,468,9998,4.2733856760021709
prdi_g,117,862,1000,0.17082599942241927E-3
Prefetch_mome_field,119,661,9998,0.45749397998958052E-1
calcmom1_gpu,120,505,9998,1.3817516629994575
fdi_fld,121,269,9998,0.99954299988258555E-3
pf_dgdxy,122,527,2,0.12057000000176288E-4
FldSlv,124,47,2,0.85149000000050989E-3
en_block,125,475,1000,78.394165486999981
fdi_fld,126,834,3,0.35600000058977344E-6
pf_chib,127,609,1,0.11741999999870245E-4
add_dchidxy,128,236,9998,0.16899674000031695
pr_g,129,638,9998,0.78191200034538610E-3
add_nl,130,688,2,0.20319679999998286E-2
pr_g,131,269,9998,0.75602300278809764E-3
calc_ff1_gpu,132,3,1,0.54573945000000013E-1
prdi_g,133,850,3,0.23300000018267042E-6
add_dchidxy,135,789,9998,0.16736935100106010
rkupd,136,307,3,0.16433499999957135E-3
pf_nl,137,706,9998,0.40336969000501099E-1
hypz_cmp,138,938,9998,0.65610511000408600E-1
calcmom1_gpu,144,349,3,0.19175700000007012E-3
prep_nl,145,527,4,0.41200000033825290E-6
sum_vwsp,146,228,9998,4.2208131400022326
FldSlv,147,503,9998,2.0521572530026848
dApardt,148,751,2,0.10099999947499327E-6
pf_dgdxy,149,269,9998,0.59337850000913406E-1
pr_hf,152,462,9998,0.22781280018682182E-2
pr_fld,154,638,9998,0.19801010019850906E-2
prep_nl,155,10,2,0.30200000011859629E-6
prdi_fld,157,938,9998,0.12486119999648437E-2
pf_dfb,161,149,9998,0.35982798999986798E-1
h_to_GPU,163,881,9998,0.36011481000698176E-1
exv6d,164,342,9998,14.236405384998545
calcnl,165,130,2,0.33129200000026060E-3
add_dchidxy_wo_curv,166,125,1000,0.88584480005273747E-2
fdi_fld,167,862,1000,0.17264799947014353E-3
Prefetch_mome_field,168,890,1000,0.45541649993197098E-2
g_to_GPU,169,261,9998,0.36783539000821541E-1
calcaux,170,399,3,0.10341738199999995
exz3d,171,3,1,0.28810699999981537E-3
pf_dfb,172,605,3,0.11140000000242622E-4
pf_nl,173,421,3,0.11828000000324579E-4
addadi,176,747,1000,0.22766630499974649
ex_gen_real,177,210,1282,0.36208289999968279E-2
eRK_standard,178,219,9998,165.50115408000258
FldSlv,179,661,9998,2.5322346120014556
pf_dgdxy,182,938,9998,0.58641770999531495E-1
prep_nl,183,849,6,0.53999999982679014E-6
compadi,184,911,3,0.58627500000030253E-3
add_dchidxy,185,724,2,0.33239000000406804E-4
pf_dfb,186,585,3,0.11076999999914960E-4
ccdens,188,554,1000,16.134125498000486
exz_f_gpu,189,107,9998,1.9531911610010377
pf_dfb,190,909,2,0.68749999995176836E-5
calcmom1_gpu,191,40,2,0.72444000000615461E-4
rkupd,193,482,9998,0.54190730600123693
exz3d,194,503,9998,0.91652206500135414
initialization,195,44,1,1.3052328430000002
h_to_GPU,196,680,3,0.10792000000314772E-4
add_nl,197,850,3,0.30227890000005253E-2
dgdxy,198,850,3,0.14240800000031584E-3
addadi,199,816,2,0.47966299999924189E-3
h_to_GPU,200,547,2,0.74730000001466124E-5
h_from_f_ff2_gpu,202,554,1000,0.31432526000821248E-1
prdi_fld,206,269,9998,0.14049459994049940E-2
addadi,207,1024,9998,2.4530745839989780
pfld,208,834,3,0.11683800000028555E-3
pf_chib,209,268,9998,0.21944596001677752E-1
initrhs,210,821,1,0.78807535000000017
exz_f_gpu,213,956,9998,1.9616875399974081
dzv_ak,214,756,2,0.23597199999993990E-2
exz3d,215,630,9998,0.95482922799959713
dApardt,216,834,3,0.12799999993262645E-6
x_pfgnew,217,547,2,0.79429999999547363E-5
exz_f_gpu,218,273,9998,1.9627534699999858
t_loop,219,855,1,383.73514529300002
add_dchidxy,220,249,3,0.54599999999904725E-4
hypz_cmp,221,751,2,0.13650999999725855E-4
pfld,222,756,2,0.77131000000285610E-4
prdi_g,223,834,3,0.22999999949036010E-6
pf_dfb,224,319,3,0.99860000006835037E-5
pf_dfb,225,277,3,0.10640000000172734E-4
eRK_stage_3,226,178,9998,40.706452236998544
ccdens,228,661,9998,4.8515430970010964
f_and_fields_to_GPU,229,801,2,0.11221000000283254E-4
pf_dfb,231,108,9998,0.40947492000351637E-1
compadi,235,723,2,0.53539100000055129E-3
dfielddxy,236,638,9998,0.56585947899832867
pf_dgdxy,237,850,3,0.17484000000234090E-4
calcaux,238,838,2,0.97707060000002954E-2
d_nrg,240,339,1,0.30325985000000166E-1
pfld,244,862,1000,0.39240551000139234E-1
pf_dfb,245,790,2,0.69249999992138100E-5
calc_ff1_gpu,246,554,1000,5.8796118269997395
dfielddxy,247,849,3,0.17019400000028995E-3
pf_dfb,248,507,9998,0.35732366999204679E-1
dfielddxy,249,834,3,0.17260299999977136E-3
prdi_fld,251,462,9998,0.12711280014539028E-2
pf_nl,252,165,2,0.80210000001912363E-5
addadi,254,179,9998,2.2972686100010353
pr_hf,255,527,2,0.44399999943323110E-6
prdi_fld,256,751,2,0.24099999951232576E-6
h_from_f_ff2_gpu,257,802,3,0.63699000000472239E-4
exz_f_gpu,258,441,3,0.62166799999952005E-3
calcnl,259,971,9998,1.5770742189993774
eRK_stage_1,261,178,9998,42.952249391000642
f_and_fields_to_GPU,263,482,9998,0.56887318997949521E-1
prdi_g,264,462,9998,0.79609699916360910E-3
x_pfkp,265,307,3,0.52780000001639849E-5
calcmom1_gpu,266,959,3,0.66641090000003622E-2
add_nl,268,462,9998,10.116743301000803
CalFRhs0,269,261,9998,16.467378500000869
exz_f_gpu,270,132,1,0.58346650000000722E-2
x_pfgold,271,307,3,0.11025000000497442E-4
fdi_g,272,849,3,0.32300000007978724E-6
calc_ff1_gpu,273,630,9998,16.596229980001098
dfielddxy,275,10,1,0.21401440000001770E-2
sum_vwsp,276,863,2,0.23112899999997438E-2
x_pfgold,277,20,3,0.11202999999682106E-4
calc_ff1_gpu,278,471,3,0.57250409999998197E-2
fdi_fld,279,463,3,0.84200000038947564E-6
exz3d,280,661,9998,0.87789802800320960
pr_hf,281,10,1,0.54299999963092205E-6
Prefetch_mome_field,283,471,3,0.14388999999948027E-4
pf_dfb,284,991,9998,0.40994524001638055E-1
calcnl,285,609,1,0.22841800000072965E-3
FldSlv,286,802,3,0.12811670000001385E-2
hypz_cmp,287,463,3,0.10302100000059156E-3
pf_dgdxy,291,463,3,0.18666000000333582E-4
exz3d,292,103,9998,0.87227174899863336
compadi,293,763,9998,1.6384760990023928
g_to_GPU,294,881,9998,0.36434524002969759E-1
h_from_f_ff2_gpu,295,238,2,0.53310000000195146E-4
prdi_g,296,463,3,0.33100000029762100E-6
hypz_cmp,297,834,3,0.22889000000247961E-4
exz_f_gpu,298,278,3,0.13650150000001915E-2
fdi_fld,301,756,2,0.26599999980447819E-6
dApardt,303,269,9998,0.54457299919530300E-3
pf_nl,304,618,9998,0.40182096997656735E-1
prep_nl,305,269,19996,0.20098860009394315E-2
pf_nl,306,285,1,0.49359999998443982E-5
eRK_stage_4,307,762,3,0.12758407000000194E-1
compadi,312,32,1000,26.437781747999921
prdi_fld,318,10,1,0.23799999926410464E-6
g_to_GPU,319,680,3,0.10685999999537898E-4
fdi_g,323,638,9998,0.11375309971022318E-2
prdi_g,325,938,9998,0.84961900019919767E-3
pf_dfb,326,263,9998,0.37483182001285087E-1
pfld,327,269,9998,0.38113168299758371
calcmom1_gpu,328,75,1,0.79538299999981632E-3
