timer_name,id,parent_id,ncalls,total_time
prep_nl,1,749,4,0.29600000051033248E-6
calc_moments,2,240,1,0.16331961999999756E-1
calcaux,3,339,1,0.31759487999999614E-1
h_from_f_ff2_gpu,4,170,3,0.65122499999992201E-3
compadi,5,733,3,0.53099200000028546E-3
add_nl,6,527,2,0.20047170000001557E-2
addadi,7,884,3,0.12463213999999834E-1
hypz_cmp,8,688,2,0.87999999287546871E-7
pf_dfb,9,403,2,0.87439999996163920E-5
CalFRhs0,10,581,1,0.48442983000000162E-1
compadi,11,456,1,0.13152569999999031E-2
calc_moments,12,339,1,0.63027229999992329E-2
ccdens,14,969,2,0.46172939999999940E-2
dzv_ak,15,527,2,0.35023199999972832E-3
pf_dgdxy,16,834,3,0.18840999999714114E-4
dzv_ak,18,510,496,0.59098116999997785E-1
eRK_stage_2,20,762,3,0.21847671000000624E-1
sum_vwsp,23,188,1000,17.731728123000227
prdi_fld,24,510,496,0.56746999998580350E-4
sum_vwsp,28,63,1,0.82553900000004177E-3
prdi_g,29,849,3,0.22800000021305777E-6
pf_dgdxy,30,861,1000,0.80224449997539082E-2
add_dchidxy,31,740,1000,0.26173259000617399E-1
addadi,32,1023,1000,28.584980836000078
pf_dfb,33,294,9998,0.38126057000630986E-1
ex_gen_real,34,195,1,0.60269999995199441E-5
fdi_fld,35,749,2,0.26699999988721856E-6
f_and_fields_to_GPU,36,440,496,0.71080470000022267E-2
ccdens,40,924,2,0.35569940000002020E-2
exv6d,41,45,3,0.32534298999999933E-1
compute_barchi_gpu,42,275,1,0.12839000000042233E-4
dApardt,43,462,9998,0.47153600213789559E-3
gsub,44,1007,1,483.95457851899999
calc_ff1_gpu,45,170,3,0.40208591999999932E-1
compadi,46,968,2,0.31271300000046409E-3
calcaux,47,465,2,0.66237430000004593E-2
ex_gen_real,48,473,3849,0.57072699999856091E-2
pf_dfb,49,953,3,0.10721999999852017E-4
pf_dfb,53,597,9998,0.37994534999030272E-1
sum_sp,54,210,28672,0.12281508000024033E-1
pf_dfb,55,237,3,0.10971999999664916E-4
pf_dfb,57,717,2,0.82770000000564892E-5
dgdxy,59,749,2,0.96389999999502152E-4
