timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.43600000054766497E-6
calc_moments,2,240,1,0.16089453999999392E-1
calcaux,3,339,1,0.68292232000000119E-1
h_from_f_ff2_gpu,4,170,3,0.67453200000011648E-3
compadi,5,733,3,0.55196000000012901E-3
add_nl,6,527,2,0.20289409999998398E-2
addadi,7,884,3,0.11920576999999266E-1
hypz_cmp,8,688,2,0.15912000000284365E-4
pf_dfb,9,403,2,0.72439999998508142E-5
CalFRhs0,10,581,1,0.29594190000000076E-1
compadi,11,456,1,0.12787709999999564E-2
calc_moments,12,339,1,0.61015530000005924E-2
ccdens,14,969,2,0.17719070000001835E-2
dzv_ak,15,527,2,0.34564599999953316E-3
pf_dgdxy,16,834,3,0.18251999999829849E-4
eRK_stage_2,20,762,3,0.16801223000000309E-1
sum_vwsp,24,188,1000,17.782430354999278
sum_vwsp,28,63,1,0.40458049999996248E-2
prdi_g,29,849,3,0.24400000020463608E-6
pf_dgdxy,30,862,1000,0.74476810002677141E-2
add_dchidxy,31,743,1000,0.27732195000520043E-1
addadi,32,1023,1000,26.693118178999754
pf_dfb,33,294,9998,0.33748523998389679E-1
ex_gen_real,34,195,1,0.59560000003067159E-5
fdi_fld,35,751,2,0.18999999973345894E-6
ccdens,40,924,2,0.26866870000006315E-2
exv6d,41,45,3,0.72280722999999991E-1
compute_barchi_gpu,42,275,1,0.94020000007688509E-5
gsub,44,1007,1,375.32525226100000
calc_ff1_gpu,45,170,3,0.78780847000000431E-1
compadi,46,968,2,0.36334899999967973E-3
calcaux,47,465,2,0.50431900000003083E-2
dApardt,48,462,9998,0.54462000242772035E-3
pf_dfb,49,953,3,0.10539999999892302E-4
pf_dfb,53,597,9998,0.33809818999158914E-1
sum_sp,54,210,28672,0.11061114999982191E-1
pf_dfb,55,237,3,0.10613000000159190E-4
pf_dfb,57,717,2,0.67119999993536794E-5
dgdxy,59,751,2,0.94304000000100530E-4
ccdens,63,3,1,0.72276880000003985E-2
fdi_g,64,756,2,0.29800000067581323E-6
pfld,65,10,1,0.39525000000040222E-4
hypz_cmp,66,10,1,0.14117000000091195E-4
pf_dfb,67,929,3,0.10456999999686190E-4
Prefetch_mome_field,68,3,1,0.48789999995690891E-5
prep_nl,69,834,6,0.50699999931680395E-6
pfld,70,751,2,0.75601999999896918E-4
addadi,73,286,3,0.78860500000033085E-3
pf_dfb,74,229,2,0.74709999999811316E-5
ccdens,75,418,1,0.10846813499999985
prdi_fld,76,850,3,0.34600000020645894E-6
fdi_fld,77,462,9998,0.10137269988099717E-2
f_and_fields_to_GPU,78,881,9998,0.56943571001078830E-1
FldSlv,79,418,1,0.16060229999999009E-2
x_pfkp,80,20,3,0.58820000004011774E-5
dzv_ak,83,638,9998,1.7353268009998972
add_dchidxy,84,247,3,0.50546000000206703E-4
Prefetch_mome_field,85,170,3,0.14859999999394802E-4
pr_hf,86,638,9998,0.23671869998862505E-2
Prefetch_mome_field,87,503,9998,0.46877904998064324E-1
prdi_fld,88,527,2,0.23900000023502344E-6
compute_barchi_gpu,89,697,2,0.14891000000183396E-4
exz3d,90,817,8,0.26401850000006277E-2
add_dchidxy,91,602,3,0.50109000000464476E-4
x_pfkp,92,680,3,0.51710000001925494E-5
add_dchidxy,93,409,3,0.21479740000001080E-2
pf_dfb,94,1004,2,0.66140000001269073E-5
pr_hf,95,756,2,0.71699999981689189E-6
dgdxy,100,862,1000,2.0747174640000168
pf_dfb,101,469,9998,0.35293011999366186E-1
h_from_f_ff2_gpu,102,418,1,0.29162000000582111E-4
calcaux,103,226,9998,21.439734946997298
fdi_fld,104,938,9998,0.10330380019238916E-2
pf_chib,105,857,2,0.43279999992762441E-5
pfld,106,849,3,0.11489699999955860E-3
calc_ff1_gpu,107,103,9998,8.2749874740007563
x_pfgnew,108,881,9998,0.42466483001062372E-1
f_and_fields_to_GPU,109,547,2,0.11404000000325709E-4
pf_dfb,110,549,3,0.99619999995859132E-5
pf_dfb,111,163,9998,0.34013499997597840E-1
sum_cmplx_vw,112,581,8,0.36277595000000495E-1
pf_dfb,113,949,2,0.82509999996815964E-5
g_to_GPU,114,465,2,0.71800000007726794E-5
h_to_GPU,115,399,3,0.10727999999904370E-4
sum_vwsp,116,468,9998,8.5443061820022201
prdi_g,117,862,1000,0.21459100016318899E-3
Prefetch_mome_field,119,661,9998,0.45917554998037069E-1
calcmom1_gpu,120,505,9998,1.2328828910004113
fdi_fld,121,269,9998,0.10728239990056565E-2
pf_dgdxy,122,527,2,0.11808000000002039E-4
FldSlv,124,47,2,0.55686100000063021E-3
en_block,125,475,1000,77.546996304000544
fdi_fld,126,834,3,0.32999999977079142E-6
pf_chib,127,609,1,0.10070999999278740E-4
add_dchidxy,128,236,9998,0.16850505099995594
pr_g,129,638,9998,0.65099900270837452E-3
add_nl,130,688,2,0.20214570000005594E-2
pr_g,131,269,9998,0.65727699981188437E-3
calc_ff1_gpu,132,3,1,0.59842032000000600E-1
prdi_g,133,850,3,0.24700000000876798E-6
add_dchidxy,135,789,9998,0.16662034699983330
rkupd,136,307,3,0.16524200000045397E-3
pf_nl,137,706,9998,0.39480410000882316E-1
hypz_cmp,138,938,9998,0.64953319999402126E-1
calcmom1_gpu,144,349,3,0.19745999999987163E-3
prep_nl,145,527,4,0.36600000097308794E-6
sum_vwsp,146,228,9998,8.5431132900006297
FldSlv,147,503,9998,1.7353851949997656
dApardt,148,751,2,0.10299999964047402E-6
pf_dgdxy,149,269,9998,0.58221711997375358E-1
pr_hf,152,462,9998,0.22235319990233648E-2
pr_fld,154,638,9998,0.18163249998455200E-2
prep_nl,155,10,2,0.42400000044295894E-6
prdi_fld,157,938,9998,0.12600420029613701E-2
pf_dfb,161,149,9998,0.35456058999393747E-1
h_to_GPU,163,881,9998,0.35813939001230644E-1
exv6d,164,342,9998,5.9131289580033020
calcnl,165,130,2,0.32640200000066955E-3
add_dchidxy_wo_curv,166,125,1000,0.86367280003170066E-2
fdi_fld,167,862,1000,0.17744100020422593E-3
Prefetch_mome_field,168,890,1000,0.46090729999077595E-2
g_to_GPU,169,261,9998,0.36421062000625781E-1
calcaux,170,399,3,0.11423526300000031
exz3d,171,3,1,0.20358200000014648E-3
pf_dfb,172,605,3,0.11181999999720915E-4
pf_nl,173,421,3,0.11712000000052569E-4
addadi,176,747,1000,0.12567229899969146
ex_gen_real,177,210,1282,0.19844280000009817E-2
eRK_standard,178,219,9998,144.05554553299720
FldSlv,179,661,9998,1.5017605209981975
pf_dgdxy,182,938,9998,0.57625684000810473E-1
prep_nl,183,849,6,0.52700000008343295E-6
compadi,184,911,3,0.45651900000009960E-3
add_dchidxy,185,724,2,0.33716999999988673E-4
pf_dfb,186,585,3,0.11254000000349151E-4
ccdens,188,554,1000,18.540155088999835
exz_f_gpu,189,107,9998,2.2949670709993804
pf_dfb,190,909,2,0.67649999992980270E-5
calcmom1_gpu,191,40,2,0.69610000000608352E-4
rkupd,193,482,9998,0.54494210400105381
exz3d,194,503,9998,1.4834210720035452
initialization,195,44,1,1.5358722100000004
h_to_GPU,196,680,3,0.10523000000706162E-4
add_nl,197,850,3,0.30136570000003360E-2
dgdxy,198,850,3,0.15366100000013816E-3
addadi,199,816,2,0.65834399999964432E-3
h_to_GPU,200,547,2,0.72639999997292648E-5
h_from_f_ff2_gpu,202,554,1000,0.27974224000449688E-1
prdi_fld,206,269,9998,0.13864830012311202E-2
addadi,207,1024,9998,1.2741554299978777
pfld,208,834,3,0.11472300000070490E-3
pf_chib,209,268,9998,0.21604053001179402E-1
initrhs,210,821,1,1.1140314720000002
exz_f_gpu,213,956,9998,2.3111060069995686
dzv_ak,214,756,2,0.23803060000000542E-2
exz3d,215,630,9998,1.5221805400004174
dApardt,216,834,3,0.19299999998168005E-6
x_pfgnew,217,547,2,0.72570000009264390E-5
exz_f_gpu,218,273,9998,2.3008504590002907
t_loop,219,855,1,369.61782699499997
add_dchidxy,220,249,3,0.57456000000399854E-4
