timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.38399999890970093E-6
calc_moments,2,240,1,0.17016196999999345E-1
calcaux,3,339,1,0.10646409699999992
h_from_f_ff2_gpu,4,170,3,0.65566499999958339E-3
compadi,5,733,3,0.60014700000010635E-3
add_nl,6,527,2,0.19929379999998886E-2
addadi,7,884,3,0.13396973999999950E-1
hypz_cmp,8,688,2,0.15880000000301209E-4
pf_dfb,9,403,2,0.72950000005178595E-5
CalFRhs0,10,581,1,0.29356471999999911E-1
compadi,11,456,1,0.15271019999998359E-2
calc_moments,12,339,1,0.60756570000002341E-2
ccdens,14,969,2,0.93128299999989395E-3
dzv_ak,15,527,2,0.34607800000063804E-3
pf_dgdxy,16,834,3,0.18136000000446018E-4
eRK_stage_2,20,762,3,0.23156404999999936E-1
sum_vwsp,24,188,1000,16.213132270999868
sum_vwsp,28,63,1,0.38697899999995400E-3
prdi_g,29,849,3,0.23399999982132158E-6
pf_dgdxy,30,862,1000,0.74154229997640542E-2
add_dchidxy,31,743,1000,0.26692270999887135E-1
addadi,32,1023,1000,28.536369933000259
pf_dfb,33,294,9998,0.34072878001157214E-1
ex_gen_real,34,195,1,0.32705999999826929E-4
fdi_fld,35,751,2,0.21999999955113481E-6
ccdens,40,924,2,0.10444490000001139E-2
exv6d,41,45,3,0.11299354600000022
compute_barchi_gpu,42,275,1,0.10625999999902547E-4
gsub,44,1007,1,429.79906914700001
calc_ff1_gpu,45,170,3,0.12179255200000005
compadi,46,968,2,0.19454100000002583E-2
calcaux,47,465,2,0.87405199999999184E-2
dApardt,48,462,9998,0.55851799860118234E-3
pf_dfb,49,953,3,0.10679999999929635E-4
pf_dfb,53,597,9998,0.34161905998015385E-1
sum_sp,54,210,28672,0.10634687000048437E-1
pf_dfb,55,237,3,0.10502000000300882E-4
pf_dfb,57,717,2,0.68180000001305530E-5
dgdxy,59,751,2,0.94244999999659740E-4
ccdens,63,3,1,0.53599909999997308E-2
fdi_g,64,756,2,0.37599999913595639E-6
pfld,65,10,1,0.38026999999551947E-4
hypz_cmp,66,10,1,0.14971999999779939E-4
pf_dfb,67,929,3,0.10446999999746964E-4
Prefetch_mome_field,68,3,1,0.47270000003152290E-5
prep_nl,69,834,6,0.62600000028112390E-6
pfld,70,751,2,0.76272000000265905E-4
addadi,73,286,3,0.58618700000012680E-3
pf_dfb,74,229,2,0.74119999995403418E-5
ccdens,75,418,1,0.13368680199999972
prdi_fld,76,850,3,0.38600000040744931E-6
fdi_fld,77,462,9998,0.10426929993903045E-2
f_and_fields_to_GPU,78,881,9998,0.57254105999667182E-1
FldSlv,79,418,1,0.17329629999993656E-2
x_pfkp,80,20,3,0.55779999996730112E-5
dzv_ak,83,638,9998,1.7352823649981426
add_dchidxy,84,247,3,0.51223000000266694E-4
Prefetch_mome_field,85,170,3,0.15481999999789053E-4
pr_hf,86,638,9998,0.23257969971144377E-2
Prefetch_mome_field,87,503,9998,0.45490730001728430E-1
prdi_fld,88,527,2,0.21799999938565406E-6
compute_barchi_gpu,89,697,2,0.16883000000689208E-4
exz3d,90,817,8,0.34681650000001341E-2
add_dchidxy,91,602,3,0.50896000000300035E-4
x_pfkp,92,680,3,0.52849999998549890E-5
add_dchidxy,93,409,3,0.33960109999995325E-2
pf_dfb,94,1004,2,0.67449999994195764E-5
pr_hf,95,756,2,0.75999999982201416E-6
dgdxy,100,862,1000,2.0897901230005846
pf_dfb,101,469,9998,0.35915761999301132E-1
h_from_f_ff2_gpu,102,418,1,0.31770999999736205E-4
calcaux,103,226,9998,34.704150106001535
fdi_fld,104,938,9998,0.10591769996111111E-2
pf_chib,105,857,2,0.43999999999044803E-5
pfld,106,849,3,0.11497200000043506E-3
calc_ff1_gpu,107,103,9998,25.452388976999302
x_pfgnew,108,881,9998,0.42738821997834187E-1
f_and_fields_to_GPU,109,547,2,0.11266999999648419E-4
pf_dfb,110,549,3,0.10023999999830835E-4
pf_dfb,111,163,9998,0.34097453003336220E-1
sum_cmplx_vw,112,581,8,0.41973759999978100E-2
pf_dfb,113,949,2,0.79089999998060989E-5
g_to_GPU,114,465,2,0.72060000002593938E-5
h_to_GPU,115,399,3,0.11107000000620815E-4
sum_vwsp,116,468,9998,4.5281077230012352
prdi_g,117,862,1000,0.14838199964373189E-3
Prefetch_mome_field,119,661,9998,0.45121341998762610E-1
calcmom1_gpu,120,505,9998,1.2831282339997561
fdi_fld,121,269,9998,0.10844830002740835E-2
pf_dgdxy,122,527,2,0.12203999999904624E-4
FldSlv,124,47,2,0.17618129999998899E-2
en_block,125,475,1000,78.449070005000891
fdi_fld,126,834,3,0.34299999951414861E-6
pf_chib,127,609,1,0.10892999999789765E-4
add_dchidxy,128,236,9998,0.16886151400266680
pr_g,129,638,9998,0.72047099860927943E-3
add_nl,130,688,2,0.19937700000003389E-2
pr_g,131,269,9998,0.80827399788230281E-3
calc_ff1_gpu,132,3,1,0.98392987000000431E-1
prdi_g,133,850,3,0.21800000027383248E-6
add_dchidxy,135,789,9998,0.16746769799999850
rkupd,136,307,3,0.16255999999970072E-3
pf_nl,137,706,9998,0.39699325998488355E-1
hypz_cmp,138,938,9998,0.64850053001877406E-1
calcmom1_gpu,144,349,3,0.24459099999996070E-3
prep_nl,145,527,4,0.38600000085153852E-6
sum_vwsp,146,228,9998,4.4054571339983175
FldSlv,147,503,9998,2.0290353279982805
dApardt,148,751,2,0.10499999980595476E-6
pf_dgdxy,149,269,9998,0.59772792998745494E-1
pr_hf,152,462,9998,0.22980689999139159E-2
pr_fld,154,638,9998,0.18891849983804221E-2
prep_nl,155,10,2,0.50199999979128052E-6
prdi_fld,157,938,9998,0.12727750013175054E-2
pf_dfb,161,149,9998,0.36210486998993652E-1
h_to_GPU,163,881,9998,0.36009470001214794E-1
exv6d,164,342,9998,22.976363969001273
calcnl,165,130,2,0.32709599999858341E-3
add_dchidxy_wo_curv,166,125,1000,0.86637580002246750E-2
fdi_fld,167,862,1000,0.18283600024737723E-3
Prefetch_mome_field,168,890,1000,0.45112350002476376E-2
g_to_GPU,169,261,9998,0.36639969998412347E-1
calcaux,170,399,3,0.15944512600000005
exz3d,171,3,1,0.19192799999956378E-3
pf_dfb,172,605,3,0.11341999999636698E-4
pf_nl,173,421,3,0.11663000000439183E-4
addadi,176,747,1000,0.13809575000046070
ex_gen_real,177,210,1282,0.43192380000043329E-2
eRK_standard,178,219,9998,200.50904982799898
FldSlv,179,661,9998,1.6091219760000453
pf_dgdxy,182,938,9998,0.58343074999342548E-1
prep_nl,183,849,6,0.60600000040267332E-6
compadi,184,911,3,0.42933100000075441E-3
add_dchidxy,185,724,2,0.33863999999717009E-4
pf_dfb,186,585,3,0.11327999999810601E-4
ccdens,188,554,1000,16.989821450999358
exz_f_gpu,189,107,9998,2.3124045590007949
pf_dfb,190,909,2,0.67389999998113126E-5
calcmom1_gpu,191,40,2,0.72299000001052605E-4
rkupd,193,482,9998,0.53461576900078800
exz3d,194,503,9998,1.4959878319993418
initialization,195,44,1,1.4734742590000001
h_to_GPU,196,680,3,0.10499999999691312E-4
add_nl,197,850,3,0.29973710000001930E-2
dgdxy,198,850,3,0.14119700000003732E-3
addadi,199,816,2,0.12894480000005260E-2
h_to_GPU,200,547,2,0.76230000001231701E-5
h_from_f_ff2_gpu,202,554,1000,0.28692173000812282E-1
prdi_fld,206,269,9998,0.14144870007237742E-2
addadi,207,1024,9998,1.3641501360022907
pfld,208,834,3,0.11415599999997639E-3
pf_chib,209,268,9998,0.21918741998883107E-1
initrhs,210,821,1,1.1867726840000001
exz_f_gpu,213,956,9998,2.3012511069996346
dzv_ak,214,756,2,0.22948120000005900E-2
exz3d,215,630,9998,1.5448153769997690
dApardt,216,834,3,0.14800000025516624E-6
x_pfgnew,217,547,2,0.74269999998932690E-5
exz_f_gpu,218,273,9998,2.3020450690003083
t_loop,219,855,1,423.85580290000001
add_dchidxy,220,249,3,0.54358999999504221E-4
hypz_cmp,221,751,2,0.13056000001121504E-4
pfld,222,756,2,0.74604000000810800E-4
prdi_g,223,834,3,0.23899999979093423E-6
pf_dfb,224,319,3,0.10083999999910276E-4
pf_dfb,225,277,3,0.11530000000536944E-4
eRK_stage_3,226,178,9998,49.287386687999039
ccdens,228,661,9998,5.0319225209998146
f_and_fields_to_GPU,229,801,2,0.11477000000148507E-4
pf_dfb,231,108,9998,0.40243125000418267E-1
compadi,235,723,2,0.28699499999973455E-3
