Size (B),Mean Time (s),Std Dev (s)
786432,0.00010676900000000001,8.130873945100424e-08
1572864,0.0001539641,5.031034849368029e-06
3145728,0.00024402619999999998,7.700232331271286e-06
4718592,0.0003109365,1.07385430860574e-05
7077888,0.0004475684,2.1475923755581627e-05
9437184,0.0005662274999999999,1.4566143844545825e-05
10616832,0.0006259106999999999,2.623727334262376e-05
12582912,0.000724107,4.4421511978369714e-05
14155776,0.0008152836,3.5290126690367984e-05
18874368,0.0010675738,5.2602196383801306e-05
21233664,0.001163618,5.7578738128274794e-05
24772608,0.001325555,2.1711807463528504e-05
27525120,0.0014844959999999999,8.340254555134656e-05
31457280,0.001707846,5.04635003850418e-05
34603008,0.00190841,9.293505486210366e-05
38928384,0.001973431,3.368419360603553e-05
43253760,0.002304573,9.150991033762417e-05
47185920,0.00244486,9.873113288117381e-05
51904512,0.002705954,2.7922731958030223e-05
56623104,0.002923414,8.175112383869045e-05
66060288,0.003375429,8.324926872551699e-05
113246208,0.005710619,9.047855613962415e-05
226492416,0.011418069999999999,0.00010018129177756827
452984832,0.02287524,0.00016807789992870692
490733568,0.024777510000000003,0.00017788788260524594
566231040,0.028824919999999997,0.00011688052589432244
717225984,0.03969831,0.0001810704371845996
943718400,0.059420089999999995,0.0003995854475439378
1207959552,0.09235630999999998,0.00021350457944607502
1509949440,0.1329099,7.005307511689457e-05
1811939328,0.17206610000000003,0.00029632169080991085
2113929216,0.21357810000000002,0.0005591466613410881
