Size (B),Mean Time (s),Std Dev (s)
786432,0.00014294760000000003,4.547215440977768e-06
1572864,0.00025589840000000004,8.341636479465861e-06
3145728,0.00041294419999999996,1.5430394967221174e-05
4718592,0.0005845791,1.551991925415709e-05
7077888,0.0008049800999999999,3.5707708613749555e-06
9437184,0.001075355,1.4822925374792501e-05
10616832,0.001193664,1.0814638433366302e-05
12582912,0.00138946,8.404722217631905e-06
14155776,0.001557693,3.481719053379621e-05
18874368,0.002027137,3.4761378632678457e-06
21233664,0.002274977,1.2544647419871557e-05
24772608,0.0026444529999999997,2.058426694238961e-05
27525120,0.002965509,3.4073015862996345e-05
31457280,0.003322828,1.1631393152441698e-05
34603008,0.0036574239999999994,8.436148673680678e-06
38928384,0.004089366,9.109883765571296e-06
43253760,0.0045398389999999995,9.076050842127838e-06
47185920,0.004989652999999999,2.4449453095451067e-05
51904512,0.005417974000000001,1.068010528454137e-05
56623104,0.005948145,3.628435636285522e-05
66060288,0.006875618,1.6187192330838646e-05
113246208,0.011854880000000002,0.00013175174297813964
226492416,0.023362169999999998,1.6973839348309506e-05
452984832,0.04666948,2.2767071738708304e-05
490733568,0.05056742000000001,6.91165006830258e-05
566231040,0.05955767999999999,3.970457012598079e-05
717225984,0.07892236,4.163650108044607e-05
943718400,0.09942046,4.33485921852653e-05
1207959552,0.12886039999999999,5.633865852542963e-05
1509949440,0.1617576,5.252554933871428e-05
1811939328,0.1939918,3.524769496009651e-05
2113929216,0.22776959999999996,6.727257985241918e-05
