Size (B),Mean Time (s),Std Dev (s)
786432,0.00017250540000000002,1.2444650791939787e-07
1572864,0.000308097,5.69683056132481e-06
3145728,0.0005649705000000001,1.2953950991021147e-05
4718592,0.0007924143,8.3079938486309e-06
7077888,0.001136294,4.8632938083840524e-06
9437184,0.0015070300000000001,7.817959381378832e-06
10616832,0.0017055299999999998,9.419955178001424e-06
12582912,0.001982827,1.2150946968126482e-05
14155776,0.0022164299999999997,3.7019874542076593e-06
18874368,0.002940847,5.192291401683873e-06
21233664,0.00331233,2.29517193739864e-05
24772608,0.003940661,8.379869986395305e-05
27525120,0.004246871000000001,7.5255172579697075e-06
31457280,0.00484816,7.340935453560006e-06
34603008,0.00532607,8.873871759271847e-06
38928384,0.005990498,1.412655954025762e-05
43253760,0.006654093,2.0088254749701092e-05
47185920,0.007210616,6.936608521300381e-06
51904512,0.007981133999999999,3.381309450494001e-05
56623104,0.008669732000000001,5.086655172551463e-05
66060288,0.010068899999999999,5.430367288580985e-06
113246208,0.017198700000000004,3.4509258017066264e-06
226492416,0.03432217,8.73423023384271e-06
452984832,0.06857417,5.855301491429323e-06
490733568,0.07431499000000001,7.511539271163701e-06
566231040,0.08582239,2.37312007468862e-05
717225984,0.1091562,3.3128705243504334e-05
943718400,0.14414439999999998,3.940727513205112e-05
1207959552,0.1847669,5.764537179071151e-05
1509949440,0.23140580000000002,7.24703770899219e-05
1811939328,0.2781513,7.017288175165606e-05
2113929216,0.3250889,9.077254846899599e-05
