timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.43799999893678887E-6
calc_moments,2,240,1,0.16860475000000541E-1
calcaux,3,339,1,0.10363104300000003
h_from_f_ff2_gpu,4,170,3,0.68304099999982881E-3
compadi,5,733,3,0.63880599999954768E-3
add_nl,6,527,2,0.20151659999987359E-2
addadi,7,884,3,0.11758944000000326E-1
hypz_cmp,8,688,2,0.16095000000326820E-4
pf_dfb,9,403,2,0.71900000007119047E-5
CalFRhs0,10,581,1,0.29137948000000691E-1
compadi,11,456,1,0.14375839999996032E-2
calc_moments,12,339,1,0.62268999999997021E-2
ccdens,14,969,2,0.92577699999907281E-3
dzv_ak,15,527,2,0.34559700000080795E-3
pf_dgdxy,16,834,3,0.22093000000111829E-4
eRK_stage_2,20,762,3,0.17019103999999619E-1
sum_vwsp,24,188,1000,19.304865376000297
sum_vwsp,28,63,1,0.37534799999949797E-3
prdi_g,29,849,3,0.27299999993957158E-6
pf_dgdxy,30,862,1000,0.71152150001685399E-2
add_dchidxy,31,743,1000,0.25762235999819083E-1
addadi,32,1023,1000,28.149890644000319
pf_dfb,33,294,9998,0.34254951999013628E-1
ex_gen_real,34,195,1,0.62549999997330019E-5
fdi_fld,35,751,2,0.21699999930291369E-6
ccdens,40,924,2,0.99294499999924568E-3
exv6d,41,45,3,0.11104077799999956
compute_barchi_gpu,42,275,1,0.93209999993959514E-5
gsub,44,1007,1,367.61661680399999
calc_ff1_gpu,45,170,3,0.11721494300000002
compadi,46,968,2,0.18377229999995137E-2
calcaux,47,465,2,0.50867499999993626E-2
dApardt,48,462,9998,0.51917500020337570E-3
pf_dfb,49,953,3,0.10318999999814338E-4
pf_dfb,53,597,9998,0.33997650999080697E-1
sum_sp,54,210,28672,0.11217835000014276E-1
pf_dfb,55,237,3,0.10531000000035817E-4
pf_dfb,57,717,2,0.67020000011908110E-5
dgdxy,59,751,2,0.95919999999694028E-4
ccdens,63,3,1,0.36534470000004760E-2
fdi_g,64,756,2,0.35099999973198237E-6
pfld,65,10,1,0.38664999999937777E-4
hypz_cmp,66,10,1,0.14061999999981367E-4
pf_dfb,67,929,3,0.10502000000300882E-4
Prefetch_mome_field,68,3,1,0.49269999990997349E-5
prep_nl,69,834,6,0.57899999950095093E-6
pfld,70,751,2,0.76094000000637152E-4
addadi,73,286,3,0.88463700000041001E-3
pf_dfb,74,229,2,0.73940000007155504E-5
ccdens,75,418,1,0.11287550800000012
prdi_fld,76,850,3,0.34400000004097819E-6
fdi_fld,77,462,9998,0.10745260013971247E-2
f_and_fields_to_GPU,78,881,9998,0.57398884998660193E-1
FldSlv,79,418,1,0.16566609999992821E-2
x_pfkp,80,20,3,0.58210000002389961E-5
dzv_ak,83,638,9998,1.7418614570003781
add_dchidxy,84,247,3,0.51559000000533928E-4
Prefetch_mome_field,85,170,3,0.14952999999984229E-4
pr_hf,86,638,9998,0.24636799998782877E-2
Prefetch_mome_field,87,503,9998,0.47274248997703161E-1
prdi_fld,88,527,2,0.25400000058795058E-6
compute_barchi_gpu,89,697,2,0.15480000000955840E-4
exz3d,90,817,8,0.28955570000004371E-2
add_dchidxy,91,602,3,0.50172000000348049E-4
x_pfkp,92,680,3,0.53269999997773709E-5
add_dchidxy,93,409,3,0.21371769999993795E-2
pf_dfb,94,1004,2,0.66269999994261752E-5
pr_hf,95,756,2,0.86400000043340697E-6
dgdxy,100,862,1000,2.0967189320000408
pf_dfb,101,469,9998,0.35583794999289431E-1
h_from_f_ff2_gpu,102,418,1,0.28949999999916542E-4
calcaux,103,226,9998,19.676939584001246
fdi_fld,104,938,9998,0.11165229994798409E-2
pf_chib,105,857,2,0.43490000010137919E-5
pfld,106,849,3,0.11463000000011547E-3
calc_ff1_gpu,107,103,9998,10.508545014999125
x_pfgnew,108,881,9998,0.43469859998999993E-1
f_and_fields_to_GPU,109,547,2,0.11334999999945694E-4
pf_dfb,110,549,3,0.99579999996990409E-5
pf_dfb,111,163,9998,0.34104637999861076E-1
sum_cmplx_vw,112,581,8,0.16312730999999303E-1
pf_dfb,113,949,2,0.82399999996596307E-5
g_to_GPU,114,465,2,0.72119999998676576E-5
h_to_GPU,115,399,3,0.10760000000331615E-4
sum_vwsp,116,468,9998,4.2422718249978235
prdi_g,117,862,1000,0.16938899979468403E-3
Prefetch_mome_field,119,661,9998,0.47021203999892514E-1
calcmom1_gpu,120,505,9998,1.1879911689991385
fdi_fld,121,269,9998,0.11386969986491025E-2
pf_dgdxy,122,527,2,0.11451999999856355E-4
FldSlv,124,47,2,0.16084209999993604E-2
en_block,125,475,1000,78.784849078999301
fdi_fld,126,834,3,0.38499999988061973E-6
pf_chib,127,609,1,0.11637000000064290E-4
add_dchidxy,128,236,9998,0.17084051900252106
pr_g,129,638,9998,0.72528699989860002E-3
add_nl,130,688,2,0.20087529999992526E-2
pr_g,131,269,9998,0.70530099889420939E-3
calc_ff1_gpu,132,3,1,0.98681140000000056E-1
prdi_g,133,850,3,0.24700000000876798E-6
add_dchidxy,135,789,9998,0.16947009299758875
rkupd,136,307,3,0.16319200000003420E-3
pf_nl,137,706,9998,0.39496056001124380E-1
hypz_cmp,138,938,9998,0.65302378000590799E-1
calcmom1_gpu,144,349,3,0.19239500000045595E-3
