timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.39799999917988771E-6
calc_moments,2,240,1,0.16615668000000028E-1
calcaux,3,339,1,0.10293811000000019
h_from_f_ff2_gpu,4,170,3,0.87166500000002145E-3
compadi,5,733,3,0.53364100000008463E-3
add_nl,6,527,2,0.20116810000008201E-2
addadi,7,884,3,0.12727938999999910E-1
hypz_cmp,8,688,2,0.16153999999879431E-4
pf_dfb,9,403,2,0.73480000013503854E-5
CalFRhs0,10,581,1,0.29156066999999730E-1
compadi,11,456,1,0.17291039999998148E-2
calc_moments,12,339,1,0.62570640000005895E-2
ccdens,14,969,2,0.84061600000051584E-3
dzv_ak,15,527,2,0.34719700000085396E-3
pf_dgdxy,16,834,3,0.18047999999826203E-4
eRK_stage_2,20,762,3,0.17029522999999713E-1
sum_vwsp,24,188,1000,19.313359675999813
sum_vwsp,28,63,1,0.93377600000010830E-3
prdi_g,29,849,3,0.27099999977409084E-6
pf_dgdxy,30,862,1000,0.72428620000222210E-2
add_dchidxy,31,743,1000,0.28611004000095974E-1
addadi,32,1023,1000,28.293575578000052
pf_dfb,33,294,9998,0.34257761999793246E-1
ex_gen_real,34,195,1,0.33779000000233594E-4
fdi_fld,35,751,2,0.25700000083617169E-6
ccdens,40,924,2,0.93125600000032449E-3
exv6d,41,45,3,0.10571083399999992
compute_barchi_gpu,42,275,1,0.10394999999441268E-4
gsub,44,1007,1,367.61670838399999
calc_ff1_gpu,45,170,3,0.11168738099999986
compadi,46,968,2,0.19263599999996828E-2
calcaux,47,465,2,0.50871759999999711E-2
dApardt,48,462,9998,0.60272900026081544E-3
pf_dfb,49,953,3,0.10171000000003261E-4
pf_dfb,53,597,9998,0.34157402002704451E-1
sum_sp,54,210,28672,0.11244941000035258E-1
pf_dfb,55,237,3,0.10886999999293323E-4
pf_dfb,57,717,2,0.67339999993976107E-5
dgdxy,59,751,2,0.97322999999427395E-4
ccdens,63,3,1,0.42335179999994921E-2
fdi_g,64,756,2,0.32999999977079142E-6
pfld,65,10,1,0.38083999999827256E-4
hypz_cmp,66,10,1,0.15378000000509928E-4
pf_dfb,67,929,3,0.10294999999160837E-4
Prefetch_mome_field,68,3,1,0.54329999992219769E-5
prep_nl,69,834,6,0.54300000007501126E-6
pfld,70,751,2,0.76292999999338917E-4
addadi,73,286,3,0.89274000000028053E-3
pf_dfb,74,229,2,0.75610000012105161E-5
ccdens,75,418,1,0.11225262700000016
prdi_fld,76,850,3,0.34299999995823782E-6
fdi_fld,77,462,9998,0.10776730030821469E-2
f_and_fields_to_GPU,78,881,9998,0.57530700000061330E-1
FldSlv,79,418,1,0.19366480000000408E-2
x_pfkp,80,20,3,0.57499999992494111E-5
dzv_ak,83,638,9998,1.7420766440024895
add_dchidxy,84,247,3,0.51604999999899093E-4
Prefetch_mome_field,85,170,3,0.14902000000649451E-4
pr_hf,86,638,9998,0.23787179998615571E-2
Prefetch_mome_field,87,503,9998,0.47882673999180447E-1
prdi_fld,88,527,2,0.26600000069265661E-6
compute_barchi_gpu,89,697,2,0.15727000000076430E-4
exz3d,90,817,8,0.26353479999996487E-2
add_dchidxy,91,602,3,0.50788000000245859E-4
x_pfkp,92,680,3,0.52699999999461511E-5
add_dchidxy,93,409,3,0.22343110000000443E-2
pf_dfb,94,1004,2,0.66819999986478251E-5
pr_hf,95,756,2,0.78400000003142623E-6
dgdxy,100,862,1000,2.0786308640001021
pf_dfb,101,469,9998,0.35753119001151745E-1
h_from_f_ff2_gpu,102,418,1,0.32141999999346638E-4
calcaux,103,226,9998,19.691112859999986
fdi_fld,104,938,9998,0.10938510012588054E-2
pf_chib,105,857,2,0.44159999994519694E-5
pfld,106,849,3,0.11506800000038453E-3
calc_ff1_gpu,107,103,9998,10.380256515998143
x_pfgnew,108,881,9998,0.42389069998440831E-1
f_and_fields_to_GPU,109,547,2,0.11546999999723084E-4
pf_dfb,110,549,3,0.98450000001193416E-5
pf_dfb,111,163,9998,0.34220271998163909E-1
sum_cmplx_vw,112,581,8,0.33082520000000670E-2
pf_dfb,113,949,2,0.82090000006473929E-5
g_to_GPU,114,465,2,0.72059999993712154E-5
h_to_GPU,115,399,3,0.10769000000188100E-4
sum_vwsp,116,468,9998,3.9113988470006484
prdi_g,117,862,1000,0.16728100012564084E-3
Prefetch_mome_field,119,661,9998,0.47526465999563783E-1
calcmom1_gpu,120,505,9998,1.1078992870028106
fdi_fld,121,269,9998,0.11502439982686852E-2
pf_dgdxy,122,527,2,0.11713000000135310E-4
FldSlv,124,47,2,0.16810430000004928E-2
en_block,125,475,1000,78.747543939000110
fdi_fld,126,834,3,0.32800000004939989E-6
pf_chib,127,609,1,0.11083000000411403E-4
add_dchidxy,128,236,9998,0.17293088299908721
pr_g,129,638,9998,0.72067899984418204E-3
add_nl,130,688,2,0.20108930000004577E-2
pr_g,131,269,9998,0.66710500048383636E-3
calc_ff1_gpu,132,3,1,0.94430126999999864E-1
prdi_g,133,850,3,0.26799999952586973E-6
add_dchidxy,135,789,9998,0.17078134499831510
rkupd,136,307,3,0.16243399999993358E-3
pf_nl,137,706,9998,0.39719132001224899E-1
hypz_cmp,138,938,9998,0.67290793999403853E-1
calcmom1_gpu,144,349,3,0.19323100000034898E-3
prep_nl,145,527,4,0.34999999964924200E-6
sum_vwsp,146,228,9998,3.9350384629993620
FldSlv,147,503,9998,2.1815229209988853
dApardt,148,751,2,0.12299999951892460E-6
pf_dgdxy,149,269,9998,0.59344109999036831E-1
pr_hf,152,462,9998,0.23262870018472270E-2
pr_fld,154,638,9998,0.21308379965692126E-2
prep_nl,155,10,2,0.31300000014056195E-6
prdi_fld,157,938,9998,0.13229659987192832E-2
pf_dfb,161,149,9998,0.35778695999542975E-1
h_to_GPU,163,881,9998,0.36058033998837224E-1
exv6d,164,342,9998,8.4006714880006434
calcnl,165,130,2,0.33697300000046226E-3
add_dchidxy_wo_curv,166,125,1000,0.93203219995903197E-2
fdi_fld,167,862,1000,0.19204099972736088E-3
Prefetch_mome_field,168,890,1000,0.47297640004337893E-2
g_to_GPU,169,261,9998,0.36900233003014371E-1
calcaux,170,399,3,0.14366386900000006
exz3d,171,3,1,0.14262399999953601E-3
pf_dfb,172,605,3,0.11145999999850886E-4
pf_nl,173,421,3,0.11707000000082957E-4
addadi,176,747,1000,0.26270489200032721
ex_gen_real,177,210,1282,0.35728230000042771E-2
eRK_standard,178,219,9998,141.64300269600085
FldSlv,179,661,9998,2.8921196540001892
pf_dgdxy,182,938,9998,0.58127831998000978E-1
prep_nl,183,849,6,0.53200000094122402E-6
compadi,184,911,3,0.77843999999949176E-3
add_dchidxy,185,724,2,0.34658999999770401E-4
pf_dfb,186,585,3,0.11269000000257989E-4
ccdens,188,554,1000,20.045968050999157
exz_f_gpu,189,107,9998,1.9424709169973937
pf_dfb,190,909,2,0.67129999994364198E-5
calcmom1_gpu,191,40,2,0.71237000000223816E-4
rkupd,193,482,9998,0.54447204500141133
exz3d,194,503,9998,0.97027461099754930
initialization,195,44,1,1.4196420599999997
h_to_GPU,196,680,3,0.10666000000103537E-4
add_nl,197,850,3,0.30148699999998918E-2
dgdxy,198,850,3,0.14298499999965131E-3
addadi,199,816,2,0.15222069999998311E-2
h_to_GPU,200,547,2,0.71689999998625353E-5
h_from_f_ff2_gpu,202,554,1000,0.31560360000301380E-1
prdi_fld,206,269,9998,0.14573180005852393E-2
addadi,207,1024,9998,2.6055298320002080
pfld,208,834,3,0.11596899999943844E-3
pf_chib,209,268,9998,0.21900094999254271E-1
initrhs,210,821,1,1.1527849059999999
exz_f_gpu,213,956,9998,1.9455826560000196
dzv_ak,214,756,2,0.23863760000004675E-2
exz3d,215,630,9998,0.92183023600044933
dApardt,216,834,3,0.15400000030751926E-6
x_pfgnew,217,547,2,0.74730000001466124E-5
exz_f_gpu,218,273,9998,1.9514956849988794
t_loop,219,855,1,362.03213174699999
add_dchidxy,220,249,3,0.53279999999489291E-4
hypz_cmp,221,751,2,0.13813000000695297E-4
pfld,222,756,2,0.77411999999554837E-4
prdi_g,223,834,3,0.22600000004757703E-6
pf_dfb,224,319,3,0.99020000003946507E-5
pf_dfb,225,277,3,0.10149999999597981E-4
eRK_stage_3,226,178,9998,34.420815101996709
ccdens,228,661,9998,4.5629837030000981
f_and_fields_to_GPU,229,801,2,0.11417999999707718E-4
pf_dfb,231,108,9998,0.39795270001029337E-1
compadi,235,723,2,0.56982400000027411E-3
dfielddxy,236,638,9998,0.56423297700095354
pf_dgdxy,237,850,3,0.18317000000322992E-4
calcaux,238,838,2,0.82952030000003063E-2
d_nrg,240,339,1,0.34825979000000729E-1
pfld,244,862,1000,0.38817737999734092E-1
pf_dfb,245,790,2,0.73740000008370998E-5
calc_ff1_gpu,246,554,1000,4.5918487239996804
dfielddxy,247,849,3,0.16700500000021989E-3
pf_dfb,248,507,9998,0.35570892998515902E-1
dfielddxy,249,834,3,0.16911300000010954E-3
prdi_fld,251,462,9998,0.13254900011867576E-2
pf_nl,252,165,2,0.80170000007484532E-5
addadi,254,179,9998,2.6588907579977787
pr_hf,255,527,2,0.42299999947204014E-6
prdi_fld,256,751,2,0.27099999933000163E-6
h_from_f_ff2_gpu,257,802,3,0.64933999999627900E-4
exz_f_gpu,258,441,3,0.60517400000037469E-3
calcnl,259,971,9998,1.6153192749985168
eRK_stage_1,261,178,9998,37.315911739999123
