timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.37499999994139444E-6
calc_moments,2,240,1,0.16505178000000065E-1
calcaux,3,339,1,0.69855263999999639E-1
h_from_f_ff2_gpu,4,170,3,0.63128600000039725E-3
compadi,5,733,3,0.11111669999994689E-2
add_nl,6,527,2,0.20063860000001377E-2
addadi,7,884,3,0.13179735999999664E-1
hypz_cmp,8,688,2,0.14576999999960094E-4
pf_dfb,9,403,2,0.71439999995703829E-5
CalFRhs0,10,581,1,0.28848682000000014E-1
compadi,11,456,1,0.15782080000001919E-2
calc_moments,12,339,1,0.64341030000001354E-2
ccdens,14,969,2,0.95304100000026537E-3
dzv_ak,15,527,2,0.34512900000027713E-3
pf_dgdxy,16,834,3,0.17762999999781925E-4
eRK_stage_2,20,762,3,0.20627391000000106E-1
sum_vwsp,24,188,1000,12.859497106999374
sum_vwsp,28,63,1,0.20179470000001309E-2
prdi_g,29,849,3,0.23200000009993005E-6
pf_dgdxy,30,862,1000,0.72966460001238076E-2
add_dchidxy,31,743,1000,0.27230284999826715E-1
addadi,32,1023,1000,19.819844199000499
pf_dfb,33,294,9998,0.33595022002227637E-1
ex_gen_real,34,195,1,0.59129999998575045E-5
fdi_fld,35,751,2,0.20199999983816497E-6
ccdens,40,924,2,0.18027160000002596E-2
exv6d,41,45,3,0.94663968000000764E-1
compute_barchi_gpu,42,275,1,0.10332999999640435E-4
gsub,44,1007,1,381.27169814100000
calc_ff1_gpu,45,170,3,0.10055729599999985
compadi,46,968,2,0.39788499999993121E-3
calcaux,47,465,2,0.71095460000001331E-2
dApardt,48,462,9998,0.55438699886334319E-3
pf_dfb,49,953,3,0.10357999999044409E-4
pf_dfb,53,597,9998,0.33314165999263068E-1
sum_sp,54,210,28672,0.11317929000016491E-1
pf_dfb,55,237,3,0.10406000000351412E-4
pf_dfb,57,717,2,0.65060000000727314E-5
dgdxy,59,751,2,0.96679999999516042E-4
ccdens,63,3,1,0.51279599999998204E-2
