timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.42699999935891242E-6
calc_moments,2,240,1,0.15971270000000093E-1
calcaux,3,339,1,0.42845674000000056E-1
h_from_f_ff2_gpu,4,170,3,0.63427399999982370E-3
compadi,5,733,3,0.11439659999989971E-2
add_nl,6,527,2,0.20059660000000257E-2
addadi,7,884,3,0.15196619999999772E-1
hypz_cmp,8,688,2,0.15228999999727932E-4
pf_dfb,9,403,2,0.71119999995872263E-5
CalFRhs0,10,581,1,0.46669452999999805E-1
compadi,11,456,1,0.16164540000001004E-2
calc_moments,12,339,1,0.57735530000000423E-2
ccdens,14,969,2,0.99040999999999713E-3
dzv_ak,15,527,2,0.34667899999973883E-3
pf_dgdxy,16,834,3,0.18386999999897569E-4
eRK_stage_2,20,762,3,0.21627665999999657E-1
sum_vwsp,24,188,1000,13.190366440000803
sum_vwsp,28,63,1,0.79769799999995783E-3
prdi_g,29,849,3,0.27699999982644385E-6
pf_dgdxy,30,862,1000,0.72423800000791516E-2
add_dchidxy,31,743,1000,0.27062215999681172E-1
addadi,32,1023,1000,19.827822052000283
pf_dfb,33,294,9998,0.33981773998174702E-1
ex_gen_real,34,195,1,0.65309999999207946E-5
fdi_fld,35,751,2,0.25800000003073364E-6
ccdens,40,924,2,0.87866400000002898E-3
exv6d,41,45,3,0.72838033999999663E-1
compute_barchi_gpu,42,275,1,0.86559999998847559E-5
gsub,44,1007,1,381.26225817500000
calc_ff1_gpu,45,170,3,0.81690655999999695E-1
compadi,46,968,2,0.39523399999996656E-3
calcaux,47,465,2,0.59296459999997886E-2
dApardt,48,462,9998,0.58969399979824644E-3
pf_dfb,49,953,3,0.10284000000027049E-4
pf_dfb,53,597,9998,0.33978158000544489E-1
sum_sp,54,210,28672,0.10603457000014860E-1
pf_dfb,55,237,3,0.10512999999878758E-4
pf_dfb,57,717,2,0.67670000003516861E-5
dgdxy,59,751,2,0.95441000000029419E-4
ccdens,63,3,1,0.58186769999997168E-2
fdi_g,64,756,2,0.24999999981289989E-6
pfld,65,10,1,0.39053000000066618E-4
hypz_cmp,66,10,1,0.11188000000217357E-4
pf_dfb,67,929,3,0.10357999999932588E-4
Prefetch_mome_field,68,3,1,0.49080000001922031E-5
prep_nl,69,834,6,0.56400000003620221E-6
pfld,70,751,2,0.76454999999864270E-4
addadi,73,286,3,0.57765999999981332E-3
pf_dfb,74,229,2,0.75040000000470286E-5
ccdens,75,418,1,0.43861346999999995E-1
prdi_fld,76,850,3,0.44500000040414989E-6
fdi_fld,77,462,9998,0.10426670008585326E-2
f_and_fields_to_GPU,78,881,9998,0.56857610999376806E-1
FldSlv,79,418,1,0.18962900000003557E-2
x_pfkp,80,20,3,0.55339999995851485E-5
dzv_ak,83,638,9998,1.7305659950026571
add_dchidxy,84,247,3,0.51305999999584628E-4
Prefetch_mome_field,85,170,3,0.14263000000180881E-4
pr_hf,86,638,9998,0.22633200013824073E-2
Prefetch_mome_field,87,503,9998,0.46789111999430144E-1
prdi_fld,88,527,2,0.27399999957822274E-6
compute_barchi_gpu,89,697,2,0.13984999999827608E-4
exz3d,90,817,8,0.39183780000007218E-2
add_dchidxy,91,602,3,0.50057999999797431E-4
