timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.41900000002925708E-6
calc_moments,2,240,1,0.15577865000000024E-1
calcaux,3,339,1,0.38992081000000400E-1
h_from_f_ff2_gpu,4,170,3,0.66185699999943282E-3
compadi,5,733,3,0.10265199999999197E-2
add_nl,6,527,2,0.19991890000001789E-2
addadi,7,884,3,0.12841266000000129E-1
hypz_cmp,8,688,2,0.15966999999950104E-4
pf_dfb,9,403,2,0.71969999999588197E-5
CalFRhs0,10,581,1,0.29296431000000123E-1
compadi,11,456,1,0.63347999999985305E-3
calc_moments,12,339,1,0.61861279999999574E-2
ccdens,14,969,2,0.92284700000044850E-3
dzv_ak,15,527,2,0.34335399999996241E-3
pf_dgdxy,16,834,3,0.18257999999882202E-4
eRK_stage_2,20,762,3,0.20382780999999905E-1
sum_vwsp,24,188,1000,32.899686032999995
sum_vwsp,28,63,1,0.43630219999997166E-2
prdi_g,29,849,3,0.28200000024014571E-6
pf_dgdxy,30,862,1000,0.67541170000309236E-2
add_dchidxy,31,743,1000,0.24420723000248223E-1
addadi,32,1023,1000,0.14666266199995093
pf_dfb,33,294,9998,0.33828074998272673E-1
ex_gen_real,34,195,1,0.97089999999688814E-5
fdi_fld,35,751,2,0.19900000003403306E-6
ccdens,40,924,2,0.10999290000004436E-2
exv6d,41,45,3,0.91612068999999519E-1
compute_barchi_gpu,42,275,1,0.90079999996994786E-5
gsub,44,1007,1,381.27742252999997
calc_ff1_gpu,45,170,3,0.97947114000000557E-1
compadi,46,968,2,0.40271499999988691E-3
calcaux,47,465,2,0.70135630000001115E-2
dApardt,48,462,9998,0.49218800051864520E-3
pf_dfb,49,953,3,0.10319999999897078E-4
pf_dfb,53,597,9998,0.33377073002712976E-1
sum_sp,54,210,28672,0.11800185000016006E-1
pf_dfb,55,237,3,0.10250999999961152E-4
pf_dfb,57,717,2,0.65669999997908235E-5
dgdxy,59,751,2,0.95337000000306205E-4
ccdens,63,3,1,0.74468240000000741E-2
fdi_g,64,756,2,0.32900000013214026E-6
pfld,65,10,1,0.39333999999779934E-4
hypz_cmp,66,10,1,0.12322999999980766E-4
pf_dfb,67,929,3,0.10222999999420779E-4
Prefetch_mome_field,68,3,1,0.50119999999154174E-5
prep_nl,69,834,6,0.53300000013578597E-6
pfld,70,751,2,0.75425999999989557E-4
addadi,73,286,3,0.13965019999999662E-2
pf_dfb,74,229,2,0.73480000000181178E-5
ccdens,75,418,1,0.44576037000000124E-1
prdi_fld,76,850,3,0.40800000045138063E-6
fdi_fld,77,462,9998,0.10511189985851210E-2
f_and_fields_to_GPU,78,881,9998,0.56821292000099888E-1
FldSlv,79,418,1,0.95440300000015910E-3
x_pfkp,80,20,3,0.55740000002302281E-5
dzv_ak,83,638,9998,1.7312581889986909
add_dchidxy,84,247,3,0.52266000000411594E-4
Prefetch_mome_field,85,170,3,0.14885000000575133E-4
