timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.42299999991612935E-6
calc_moments,2,240,1,0.16847161000000277E-1
calcaux,3,339,1,0.39978801999999813E-1
h_from_f_ff2_gpu,4,170,3,0.72072200000006248E-3
compadi,5,733,3,0.11970950000006475E-2
add_nl,6,527,2,0.20045250000002568E-2
addadi,7,884,3,0.13519907000000497E-1
hypz_cmp,8,688,2,0.15699999999618797E-4
pf_dfb,9,403,2,0.16160000000375874E-4
CalFRhs0,10,581,1,0.29244022999999508E-1
compadi,11,456,1,0.15924710000003728E-2
calc_moments,12,339,1,0.60412680000001551E-2
ccdens,14,969,2,0.98289399999984539E-3
dzv_ak,15,527,2,0.34712700000039121E-3
pf_dgdxy,16,834,3,0.17538000000261178E-4
eRK_stage_2,20,762,3,0.20497150999999825E-1
sum_vwsp,24,188,1000,12.987635210999873
sum_vwsp,28,63,1,0.23474339999998151E-2
prdi_g,29,849,3,0.22499999996483666E-6
pf_dgdxy,30,862,1000,0.73953230005159298E-2
add_dchidxy,31,743,1000,0.27097367999521005E-1
addadi,32,1023,1000,19.824597805000263
pf_dfb,33,294,9998,0.33625829999054169E-1
ex_gen_real,34,195,1,0.24313000000386609E-4
fdi_fld,35,751,2,0.19900000047812227E-6
ccdens,40,924,2,0.18628180000002104E-2
exv6d,41,45,3,0.80161809999999889E-1
compute_barchi_gpu,42,275,1,0.86800000000941679E-5
gsub,44,1007,1,381.27170801000000
calc_ff1_gpu,45,170,3,0.88950323999999359E-1
compadi,46,968,2,0.41666299999976175E-3
calcaux,47,465,2,0.69693009999998168E-2
dApardt,48,462,9998,0.50354299898591748E-3
pf_dfb,49,953,3,0.10628000000068027E-4
pf_dfb,53,597,9998,0.34005825000622103E-1
sum_sp,54,210,28672,0.10904284999953884E-1
pf_dfb,55,237,3,0.10560000000214842E-4
pf_dfb,57,717,2,0.66909999998365777E-5
dgdxy,59,751,2,0.96462999999769039E-4
ccdens,63,3,1,0.55197150000001471E-2
fdi_g,64,756,2,0.27200000030092042E-6
pfld,65,10,1,0.39287999999970680E-4
hypz_cmp,66,10,1,0.13689999999844105E-4
pf_dfb,67,929,3,0.10206999999873290E-4
Prefetch_mome_field,68,3,1,0.52850000002990782E-5
